itm_no_item|INVALID ITEM 
itm_kau_aragon_c_pl|阿 拉 貢 鏈 甲 
itm_kau_montcada_surcoat|蒙 特 卡 達 罩 袍 
itm_kau_montcada_surcoat_pl|蒙 特 卡 達 罩 袍 
itm_kau_alego_surcoat|阿 勒 戈 罩 袍 
itm_kau_alego_surcoat_pl|阿 勒 戈 罩 袍 
itm_kau_cervello_surcoat|塞 爾 維 伊 歐 罩 袍 
itm_kau_cervello_surcoat_pl|塞 爾 維 伊 歐 罩 袍 
itm_kau_cruilles_surcoat|克 維 耶 斯 罩 袍 
itm_kau_cruilles_surcoat_pl|克 維 耶 斯 罩 袍 
itm_kau_entenca_surcoat|埃 斯 坦 薩 罩 袍 
itm_kau_entenca_surcoat_pl|埃 斯 坦 薩 罩 袍 
itm_kau_epyres_surcoat|埃 皮 雷 斯 罩 袍 
itm_kau_epyres_surcoat_pl|埃 皮 雷 斯 罩 袍 
itm_kau_luna_surcoat|盧 納 罩 袍 
itm_kau_luna_surcoat_pl|盧 納 罩 袍 
itm_kau_pons_surcoat|龐 斯 罩 袍 
itm_kau_pons_surcoat_pl|龐 斯 罩 袍 
itm_kau_urgell_surcoat|烏 海 爾 罩 袍 
itm_kau_urgell_surcoat_pl|烏 海 爾 罩 袍 
itm_kau_castile_knight|卡 斯 提 爾 王 室 鏈 甲 
itm_kau_castile_knight_pl|卡 斯 提 爾 王 室 鏈 甲 
itm_kau_castile_a|卡 斯 提 爾 王 室 鏈 甲 
itm_kau_castile_a_pl|卡 斯 提 爾 王 室 鏈 甲 
itm_kau_castile_b|卡 斯 提 爾 王 室 鏈 甲 
itm_kau_castile_b_pl|卡 斯 提 爾 王 室 鏈 甲 
itm_kau_castile_c|卡 斯 提 爾 王 室 鏈 甲 
itm_kau_castile_c_pl|卡 斯 提 爾 王 室 鏈 甲 
itm_kau_santiago|聖 地 亞 哥 鏈 甲 
itm_kau_santiago_pl|聖 地 亞 哥 鏈 甲 
itm_kau_portugal_a|葡 萄 牙 鏈 甲 
itm_kau_portugal_a_pl|葡 萄 牙 鏈 甲 
itm_kau_portugal_b|葡 萄 牙 鏈 甲 
itm_kau_portugal_b_pl|葡 萄 牙 鏈 甲 
itm_kau_portugal_c|葡 萄 牙 鏈 甲 
itm_kau_portugal_c_pl|葡 萄 牙 鏈 甲 
itm_kau_portugal_d|葡 萄 牙 鏈 甲 
itm_kau_portugal_d_pl|葡 萄 牙 鏈 甲 
itm_kau_papal|教 皇 罩 袍 鏈 甲 
itm_kau_papal_pl|教 皇 罩 袍 鏈 甲 
itm_kau_sicily_a|西 西 裡 鏈 甲 
itm_kau_sicily_a_pl|西 西 裡 鏈 甲 
itm_kau_sicily_b|西 西 裡 鏈 甲 
itm_kau_sicily_b_pl|西 西 裡 鏈 甲 
itm_kau_antioch|安 條 克 鏈 甲 
itm_kau_antioch_pl|安 條 克 鏈 甲 
itm_kau_cyprus|塞 浦 路 斯 鏈 甲 
itm_kau_cyprus_pl|塞 浦 路 斯 鏈 甲 
itm_kau_jerusalem|耶 路 撒 冷 鏈 甲 
itm_kau_jerusalem_pl|耶 路 撒 冷 鏈 甲 
itm_kau_latin_a|拉 丁 帝 國 鏈 甲 
itm_kau_latin_a_pl|拉 丁 帝 國 鏈 甲 
itm_kau_latin_b|拉 丁 帝 國 鏈 甲 
itm_kau_latin_b_pl|拉 丁 帝 國 鏈 甲 
itm_kau_athens|拉 丁 帝 國 鏈 甲 
itm_kau_athens_pl|拉 丁 帝 國 鏈 甲 
itm_kau_courtenay|拉 丁 帝 國 鏈 甲 
itm_kau_courtenay_pl|拉 丁 帝 國 鏈 甲 
itm_rnd_surcoat_01|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_01_pl|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_02|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_02_pl|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_03|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_03_pl|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_04|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_04_pl|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_05|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_05_pl|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_06|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_06_pl|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_07|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_07_pl|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_08|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_08_pl|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_09|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_09_pl|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_10|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_10_pl|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_11|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_11_pl|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_12|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_12_pl|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_13|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_13_pl|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_14|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_14_pl|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_15|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_15_pl|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_16|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_16_pl|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_17|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_17_pl|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_18|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_18_pl|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_19|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_19_pl|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_20|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_20_pl|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_21|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_21_pl|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_22|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_22_pl|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_23|騎 士 罩 袍 板 甲 
itm_rnd_surcoat_23_pl|騎 士 罩 袍 板 甲 
itm_surcoat_denmark_a|罩 袍 板 甲 
itm_surcoat_denmark_a_pl|罩 袍 板 甲 
itm_surcoat_england_a|罩 袍 板 甲 
itm_surcoat_england_a_pl|罩 袍 板 甲 
itm_surcoat_devalence|罩 袍 板 甲 
itm_surcoat_devalence_pl|罩 袍 板 甲 
itm_surcoat_demontfort|罩 袍 板 甲 
itm_surcoat_demontfort_pl|罩 袍 板 甲 
itm_surcoat_mortimer|罩 袍 板 甲 
itm_surcoat_mortimer_pl|罩 袍 板 甲 
itm_surcoat_bigod|罩 袍 板 甲 
itm_surcoat_bigod_pl|罩 袍 板 甲 
itm_surcoat_dewarenne|罩 袍 板 甲 
itm_surcoat_dewarenne_pl|罩 袍 板 甲 
itm_surcoat_france_a|罩 袍 板 甲 
itm_surcoat_france_a_pl|罩 袍 板 甲 
itm_surcoat_hre_a|罩 袍 板 甲 
itm_surcoat_hre_a_pl|罩 袍 板 甲 
itm_richard_of_cornwall_surcoat_over_mail|罩 袍 板 甲 
itm_richard_of_cornwall_surcoat_over_mail_pl|罩 袍 板 甲 
itm_surcoat_bohemia|罩 袍 板 甲 
itm_surcoat_bohemia_pl|罩 袍 板 甲 
itm_surcoat_hungary_a|罩 袍 板 甲 
itm_surcoat_hungary_a_pl|罩 袍 板 甲 
itm_surcoat_ireland_a|罩 袍 板 甲 
itm_surcoat_ireland_a_pl|罩 袍 板 甲 
itm_surcoat_lithuania_a|鱗 甲 
itm_surcoat_lithuania_a_pl|鱗 甲 
itm_surcoat_lithuania_b|皮 制 鱗 甲 
itm_surcoat_lithuania_b_pl|皮 制 鱗 甲 
itm_surcoat_norway_a|罩 袍 板 甲 
itm_surcoat_norway_a_pl|罩 袍 板 甲 
itm_surcoat_novgorod|諾 夫 哥 羅 德 片 甲 
itm_surcoat_novgorod_pl|諾 夫 哥 羅 德 片 甲 
itm_surcoat_scotland_a|罩 袍 板 甲 
itm_surcoat_scotland_a_pl|罩 袍 板 甲 
itm_surcoat_sweden_a|罩 袍 板 甲 
itm_surcoat_sweden_a_pl|罩 袍 板 甲 
itm_surcoat_kaliskie|罩 袍 板 甲 
itm_surcoat_kaliskie_pl|罩 袍 板 甲 
itm_surcoat_poland_a|罩 袍 板 甲 
itm_surcoat_poland_a_pl|罩 袍 板 甲 
itm_siemowit_surcoat_over_mail|罩 袍 板 甲 
itm_siemowit_surcoat_over_mail_pl|罩 袍 板 甲 
itm_surcoat_gslask|罩 袍 板 甲 
itm_surcoat_gslask_pl|罩 袍 板 甲 
itm_surcoat_dslask|罩 袍 板 甲 
itm_surcoat_dslask_pl|罩 袍 板 甲 
itm_surcoat_mazowsze|罩 袍 板 甲 
itm_surcoat_mazowsze_pl|罩 袍 板 甲 
itm_surcoat_swidnica|罩 袍 板 甲 
itm_surcoat_swidnica_pl|罩 袍 板 甲 
itm_surcoat_swietopelk|罩 袍 板 甲 
itm_surcoat_swietopelk_pl|罩 袍 板 甲 
itm_surcoat_henry3|罩 袍 板 甲 
itm_surcoat_henry3_pl|罩 袍 板 甲 
itm_surcoat_pol_a|罩 袍 板 甲 
itm_surcoat_pol_a_pl|罩 袍 板 甲 
itm_surcoat_pol_b|罩 袍 板 甲 
itm_surcoat_pol_b_pl|罩 袍 板 甲 
itm_surcoat_pol_c|罩 袍 板 甲 
itm_surcoat_pol_c_pl|罩 袍 板 甲 
itm_surcoat_pol_d|罩 袍 板 甲 
itm_surcoat_pol_d_pl|罩 袍 板 甲 
itm_surcoat_pol_e|罩 袍 板 甲 
itm_surcoat_pol_e_pl|罩 袍 板 甲 
itm_surcoat_pol_f|罩 袍 板 甲 
itm_surcoat_pol_f_pl|罩 袍 板 甲 
itm_surcoat_pol_g|罩 袍 板 甲 
itm_surcoat_pol_g_pl|罩 袍 板 甲 
itm_surcoat_czersk|罩 袍 板 甲 
itm_surcoat_czersk_pl|罩 袍 板 甲 
itm_surcoat_przemysl2|罩 袍 板 甲 
itm_surcoat_przemysl2_pl|罩 袍 板 甲 
itm_teu_hochmeister_surcoat|罩 袍 板 甲 
itm_teu_hochmeister_surcoat_pl|罩 袍 板 甲 
itm_teu_hbrother_mail|鏈 鎖 甲 
itm_teu_hbrother_mail_pl|鏈 鎖 甲 
itm_teu_brother_surcoat_a|條 頓 罩 袍 鏈 甲 
itm_teu_brother_surcoat_a_pl|條 頓 罩 袍 鏈 甲 
itm_teu_brother_surcoat_b|條 頓 罩 袍 鏈 甲 
itm_teu_brother_surcoat_b_pl|條 頓 罩 袍 鏈 甲 
itm_teu_brother_surcoat_c|條 頓 罩 袍 鏈 甲 
itm_teu_brother_surcoat_c_pl|條 頓 罩 袍 鏈 甲 
itm_teu_brother_surcoat_d|條 頓 罩 袍 鏈 甲 
itm_teu_brother_surcoat_d_pl|條 頓 罩 袍 鏈 甲 
itm_teu_brother_surcoat_e|條 頓 罩 袍 鏈 甲 
itm_teu_brother_surcoat_e_pl|條 頓 罩 袍 鏈 甲 
itm_teu_sariant_mail|罩 袍 鏈 甲 
itm_teu_sariant_mail_pl|罩 袍 鏈 甲 
itm_teu_sergeant|鏈 甲 
itm_teu_sergeant_pl|鏈 甲 
itm_liv_sergeant|鏈 甲 
itm_liv_sergeant_pl|鏈 甲 
itm_teu_postulant_a|見 習 牧 師 短 袍 
itm_teu_postulant_a_pl|見 習 牧 師 短 袍 
itm_teu_monk_surcoat_a|條 頓 僧 侶 罩 袍 鏈 甲 
itm_teu_monk_surcoat_a_pl|條 頓 僧 侶 罩 袍 鏈 甲 
itm_liv_tunic_a|利 沃 尼 亞 短 袍 
itm_liv_tunic_a_pl|利 沃 尼 亞 短 袍 
itm_teu_gambeson|軟 鎧 甲 
itm_teu_gambeson_pl|軟 鎧 甲 
itm_teu_coat_of_plates|無 袖 板 甲 
itm_teu_coat_of_plates_pl|無 袖 板 甲 
itm_scale_shirt_a|鱗 甲 衫 
itm_scale_shirt_a_pl|鱗 甲 衫 
itm_kau_padded_mail_a|布 鏈 甲 
itm_kau_padded_mail_a_pl|布 鏈 甲 
itm_kau_mail_a|鏈 甲 
itm_kau_mail_a_pl|鏈 甲 
itm_kau_mail_b|鏈 甲 
itm_kau_mail_b_pl|鏈 甲 
itm_kau_haubergeon_a|短 鎖 甲 衫 
itm_kau_haubergeon_a_pl|短 鎖 甲 衫 
itm_kau_mail_shirt_a|鏈 甲 衫 
itm_kau_mail_shirt_a_pl|鏈 甲 衫 
itm_kau_mail_shirt_b|鏈 甲 衫 
itm_kau_mail_shirt_b_pl|鏈 甲 衫 
itm_kau_mail_shirt_c|鏈 甲 衫 
itm_kau_mail_shirt_c_pl|鏈 甲 衫 
itm_kau_mail_shirt_d|鏈 甲 衫 
itm_kau_mail_shirt_d_pl|鏈 甲 衫 
itm_kau_rus_a|東 歐 片 甲 
itm_kau_rus_a_pl|東 歐 片 甲 
itm_kau_rus_b|東 歐 鱗 甲 
itm_kau_rus_b_pl|東 歐 鱗 甲 
itm_kau_rus_d|東 歐 片 甲 
itm_kau_rus_d_pl|東 歐 片 甲 
itm_kau_rus_scale_a|東 歐 貴 族 鱗 甲 
itm_kau_rus_scale_a_pl|東 歐 貴 族 鱗 甲 
itm_kau_rus_noble_b|東 歐 貴 族 片 甲 
itm_kau_rus_noble_b_pl|東 歐 貴 族 片 甲 
itm_kau_rus_lamellar_vest|東 歐 片 甲 背 心 
itm_kau_rus_lamellar_vest_pl|東 歐 片 甲 背 心 
itm_kau_rus_noble_a|東 歐 鏈 甲 
itm_kau_rus_noble_a_pl|東 歐 鏈 甲 
itm_kau_rus_c|東 歐 皮 制 片 甲 帶 鏈 甲 
itm_kau_rus_c_pl|東 歐 皮 制 片 甲 帶 鏈 甲 
itm_kau_rus_mail_shirt_a|鏈 甲 衫 
itm_kau_rus_mail_shirt_a_pl|鏈 甲 衫 
itm_kau_rus_mail_shirt_b|鏈 甲 衫 
itm_kau_rus_mail_shirt_b_pl|鏈 甲 衫 
itm_rus_mail_shirt_c|羅 斯 鏈 甲 衫 
itm_rus_mail_shirt_c_pl|羅 斯 鏈 甲 衫 
itm_kau_rus_e|東 歐 皮 甲 
itm_kau_rus_e_pl|東 歐 皮 甲 
itm_kau_lit_mail|鏈 甲 衫 
itm_kau_lit_mail_pl|鏈 甲 衫 
itm_kau_rus_tunic_a|羅 斯 短 袍 
itm_kau_rus_tunic_a_pl|羅 斯 短 袍 
itm_kau_rus_tunic_b|羅 斯 短 袍 
itm_kau_rus_tunic_b_pl|羅 斯 短 袍 
itm_kau_rus_tunic_c|羅 斯 短 袍 
itm_kau_rus_tunic_c_pl|羅 斯 短 袍 
itm_kau_arab_aketon_blue|加 襯 布 衣 
itm_kau_arab_aketon_blue_pl|加 襯 布 衣 
itm_kau_arab_aketon|加 襯 布 衣 
itm_kau_arab_aketon_pl|加 襯 布 衣 
itm_kau_arab_aketon_red|加 襯 布 衣 
itm_kau_arab_aketon_red_pl|加 襯 布 衣 
itm_kau_arab_aketon_green|加 襯 布 衣 
itm_kau_arab_aketon_green_pl|加 襯 布 衣 
itm_kau_arab_lamellar_vest_a|片 甲 背 心 
itm_kau_arab_lamellar_vest_a_pl|片 甲 背 心 
itm_kau_arab_lamellar_vest_b|片 甲 背 心 
itm_kau_arab_lamellar_vest_b_pl|片 甲 背 心 
itm_kau_arab_lamellar_vest_c|片 甲 背 心 
itm_kau_arab_lamellar_vest_c_pl|片 甲 背 心 
itm_kau_arab_mail_shirt_a|鏈 甲 衫 
itm_kau_arab_mail_shirt_a_pl|鏈 甲 衫 
itm_kau_arab_mail_shirt_b|鏈 甲 衫 
itm_kau_arab_mail_shirt_b_pl|鏈 甲 衫 
itm_kau_arab_mail_shirt_c|鏈 甲 衫 
itm_kau_arab_mail_shirt_c_pl|鏈 甲 衫 
itm_kau_arab_mail_shirt_d|鏈 甲 衫 
itm_kau_arab_mail_shirt_d_pl|鏈 甲 衫 
itm_kau_arab_tunic_a|薩 拉 遜 短 袍 
itm_kau_arab_tunic_a_pl|薩 拉 遜 短 袍 
itm_kau_arab_tunic_b|薩 拉 遜 短 袍 
itm_kau_arab_tunic_b_pl|薩 拉 遜 短 袍 
itm_arab_banded_a|薩 拉 遜 鑲 邊 甲 
itm_arab_banded_a_pl|薩 拉 遜 鑲 邊 甲 
itm_arab_banded_b|薩 拉 遜 鑲 邊 甲 
itm_arab_banded_b_pl|薩 拉 遜 鑲 邊 甲 
itm_arab_banded_c|薩 拉 遜 鑲 邊 甲 
itm_arab_banded_c_pl|薩 拉 遜 鑲 邊 甲 
itm_templar_sarjeant_surcoat|罩 袍 鏈 甲 
itm_templar_sarjeant_surcoat_pl|罩 袍 鏈 甲 
itm_templar_sarjeant_mail|鏈 鎖 甲 
itm_templar_sarjeant_mail_pl|鏈 鎖 甲 
itm_templar_mail_a|鏈 鎖 甲 
itm_templar_mail_a_pl|鏈 鎖 甲 
itm_templar_tunic_a|見 習 牧 師 短 袍 
itm_templar_tunic_a_pl|見 習 牧 師 短 袍 
itm_templar_knight_a|聖 殿 罩 袍 鏈 甲 
itm_templar_knight_a_pl|聖 殿 罩 袍 鏈 甲 
itm_templar_knight_b|聖 殿 罩 袍 鏈 甲 
itm_templar_knight_b_pl|聖 殿 罩 袍 鏈 甲 
itm_templar_knight_c|聖 殿 罩 袍 鏈 甲 
itm_templar_knight_c_pl|聖 殿 罩 袍 鏈 甲 
itm_templar_gambeson_a|軟 鎧 甲 
itm_templar_gambeson_a_pl|軟 鎧 甲 
itm_hospitaller_knight_a|罩 袍 鏈 甲 
itm_hospitaller_knight_a_pl|罩 袍 鏈 甲 
itm_hospitaller_knight_b|罩 袍 鏈 甲 
itm_hospitaller_knight_b_pl|罩 袍 鏈 甲 
itm_hospitaller_knight_c|罩 袍 鏈 甲 
itm_hospitaller_knight_c_pl|罩 袍 鏈 甲 
itm_hospitaller_knight_d|罩 袍 鏈 甲 
itm_hospitaller_knight_d_pl|罩 袍 鏈 甲 
itm_hospitaller_knight_e|罩 袍 鏈 甲 
itm_hospitaller_knight_e_pl|罩 袍 鏈 甲 
itm_hospitaller_knight_f|罩 袍 鏈 甲 
itm_hospitaller_knight_f_pl|罩 袍 鏈 甲 
itm_hospitaller_sarjeant_surcoat|罩 袍 鏈 甲 
itm_hospitaller_sarjeant_surcoat_pl|罩 袍 鏈 甲 
itm_hospitaller_sarjeant_mail|鏈 鎖 甲 
itm_hospitaller_sarjeant_mail_pl|鏈 鎖 甲 
itm_hospitaller_tunic_a|見 習 牧 師 短 袍 
itm_hospitaller_tunic_a_pl|見 習 牧 師 短 袍 
itm_hospitaller_gambeson_a|軟 鎧 甲 
itm_hospitaller_gambeson_a_pl|軟 鎧 甲 
itm_hirdman_a|無 袖 板 甲 
itm_hirdman_a_pl|無 袖 板 甲 
itm_arab_mail_a|鏈 甲 衫 
itm_arab_mail_a_pl|鏈 甲 衫 
itm_arab_mail_b|鏈 甲 衫 
itm_arab_mail_b_pl|鏈 甲 衫 
itm_arab_mail_c|鏈 甲 衫 
itm_arab_mail_c_pl|鏈 甲 衫 
itm_arab_mail_d|鏈 甲 衫 
itm_arab_mail_d_pl|鏈 甲 衫 
itm_cuman_shirt_a|庫 曼 短 袍 
itm_cuman_shirt_a_pl|庫 曼 短 袍 
itm_cuman_shirt_b|庫 曼 短 袍 
itm_cuman_shirt_b_pl|庫 曼 短 袍 
itm_cuman_shirt_c|庫 曼 短 袍 
itm_cuman_shirt_c_pl|庫 曼 短 袍 
itm_cuman_shirt_d|庫 曼 短 袍 
itm_cuman_shirt_d_pl|庫 曼 短 袍 
itm_kipchak_shirt_a|欽 察 短 袍 
itm_kipchak_shirt_a_pl|欽 察 短 袍 
itm_kipchak_shirt_b|欽 察 短 袍 
itm_kipchak_shirt_b_pl|欽 察 短 袍 
itm_kipchak_mail_a|欽 察 鏈 甲 衫 
itm_kipchak_mail_a_pl|欽 察 鏈 甲 衫 
itm_mongol_warrior_a|蒙 古 短 袍 
itm_mongol_warrior_a_pl|蒙 古 短 袍 
itm_mongol_warrior_b|蒙 古 短 袍 
itm_mongol_warrior_b_pl|蒙 古 短 袍 
itm_mongol_warrior_c|蒙 古 皮 背 心 
itm_mongol_warrior_c_pl|蒙 古 皮 背 心 
itm_mongol_warrior_d|蒙 古 皮 背 心 
itm_mongol_warrior_d_pl|蒙 古 皮 背 心 
itm_mongol_tunic_a|蒙 古 短 袍 
itm_mongol_tunic_a_pl|蒙 古 短 袍 
itm_mongol_tunic_b|蒙 古 短 袍 
itm_mongol_tunic_b_pl|蒙 古 短 袍 
itm_mongol_warrior_ilkhanate|蒙 古 鏈 甲 
itm_mongol_warrior_ilkhanate_pl|蒙 古 鏈 甲 
itm_mamluk_shirt_a|鏈 甲 衫 
itm_mamluk_shirt_a_pl|鏈 甲 衫 
itm_mamluk_shirt_b|鏈 甲 衫 
itm_mamluk_shirt_b_pl|鏈 甲 衫 
itm_mamluk_shirt_c|鏈 甲 衫 
itm_mamluk_shirt_c_pl|鏈 甲 衫 
itm_mamluk_shirt_d|鏈 甲 衫 
itm_mamluk_shirt_d_pl|鏈 甲 衫 
itm_mamluk_shirt_e|鏈 甲 衫 
itm_mamluk_shirt_e_pl|鏈 甲 衫 
itm_mamluk_shirt_f|鏈 甲 衫 
itm_mamluk_shirt_f_pl|鏈 甲 衫 
itm_peasant_tunic_a|亞 麻 短 袍 
itm_peasant_tunic_a_pl|亞 麻 短 袍 
itm_peasant_b|亞 麻 短 袍 
itm_peasant_b_pl|亞 麻 短 袍 
itm_peasant_c|亞 麻 短 袍 
itm_peasant_c_pl|亞 麻 短 袍 
itm_peasant_d|帶 風 帽 短 袍 
itm_peasant_d_pl|帶 風 帽 短 袍 
itm_peasant_e|破 衣 爛 衫 
itm_peasant_e_pl|破 衣 爛 衫 
itm_peasant_f|破 衣 爛 衫 
itm_peasant_f_pl|破 衣 爛 衫 
itm_peasant_g|亞 麻 短 袍 
itm_peasant_g_pl|亞 麻 短 袍 
itm_byz_lord|拜 占 庭 甲 
itm_byz_lord_pl|拜 占 庭 甲 
itm_byz_emperor|拜 占 庭 甲 
itm_byz_emperor_pl|拜 占 庭 甲 
itm_bishop_a|主 教 鏈 甲 
itm_bishop_a_pl|主 教 鏈 甲 
itm_varangian_a|瓦 蘭 吉 鏈 鎖 甲 
itm_varangian_a_pl|瓦 蘭 吉 鏈 鎖 甲 
itm_varangian_b|瓦 蘭 吉 片 甲 
itm_varangian_b_pl|瓦 蘭 吉 片 甲 
itm_varangian_c|瓦 蘭 吉 片 甲 
itm_varangian_c_pl|瓦 蘭 吉 片 甲 
itm_kau_rus_noble_d|東 歐 貴 族 片 甲 
itm_kau_rus_noble_d_pl|東 歐 貴 族 片 甲 
itm_balt_lamellar_vest_a|波 羅 的 片 甲 背 心 
itm_balt_lamellar_vest_a_pl|波 羅 的 片 甲 背 心 
itm_balt_lamellar_vest_b|波 羅 的 片 甲 背 心 
itm_balt_lamellar_vest_b_pl|波 羅 的 片 甲 背 心 
itm_balt_lamellar_vest_c|波 羅 的 片 甲 背 心 
itm_balt_lamellar_vest_c_pl|波 羅 的 片 甲 背 心 
itm_byz_mail_a|拜 占 庭 鏈 甲 
itm_byz_mail_a_pl|拜 占 庭 鏈 甲 
itm_byz_lamellar_a|拜 占 庭 皮 制 片 甲 
itm_byz_lamellar_a_pl|拜 占 庭 皮 制 片 甲 
itm_byz_lamellar_b|拜 占 庭 皮 制 片 甲 
itm_byz_lamellar_b_pl|拜 占 庭 皮 制 片 甲 
itm_byz_leather_a|拜 占 庭 皮 甲 
itm_byz_leather_a_pl|拜 占 庭 皮 甲 
itm_byz_leather_b|拜 占 庭 皮 甲 
itm_byz_leather_b_pl|拜 占 庭 皮 甲 
itm_byz_padded_leather|拜 占 庭 加 襯 皮 甲 
itm_byz_padded_leather_pl|拜 占 庭 加 襯 皮 甲 
itm_byz_scale_armor|拜 占 庭 鱗 甲 
itm_byz_scale_armor_pl|拜 占 庭 鱗 甲 
itm_byz_cavalry_a|拜 占 庭 騎 兵 甲 
itm_byz_cavalry_a_pl|拜 占 庭 騎 兵 甲 
itm_byz_cavalry_b|拜 占 庭 騎 兵 甲 
itm_byz_cavalry_b_pl|拜 占 庭 騎 兵 甲 
itm_byz_mail_b|拜 占 庭 鏈 甲 
itm_byz_mail_b_pl|拜 占 庭 鏈 甲 
itm_byz_hcavalry_a|拜 占 庭 重 騎 兵 甲 
itm_byz_hcavalry_a_pl|拜 占 庭 重 騎 兵 甲 
itm_byz_hcavalry_b|拜 占 庭 重 騎 兵 甲 
itm_byz_hcavalry_b_pl|拜 占 庭 重 騎 兵 甲 
itm_byz_hcavalry_c|拜 占 庭 重 騎 兵 甲 
itm_byz_hcavalry_c_pl|拜 占 庭 重 騎 兵 甲 
itm_byz_psiloi_a|亞 麻 短 袍 
itm_byz_psiloi_a_pl|亞 麻 短 袍 
itm_byz_psiloi_b|亞 麻 短 袍 
itm_byz_psiloi_b_pl|亞 麻 短 袍 
itm_byz_kataphrakt|重 騎 兵 全 身 鱗 甲 
itm_byz_kataphrakt_pl|重 騎 兵 全 身 鱗 甲 
itm_kipchak_lamellar_a|欽 察 鏈 甲 
itm_kipchak_lamellar_a_pl|欽 察 鏈 甲 
itm_kipchak_lamellar_b|欽 察 片 甲 
itm_kipchak_lamellar_b_pl|欽 察 片 甲 
itm_balt_shirt_a|襯 衫 
itm_balt_shirt_a_pl|襯 衫 
itm_balt_shirt_b|襯 衫 
itm_balt_shirt_b_pl|襯 衫 
itm_balt_fur_coat_a|毛 皮 大 衣 
itm_balt_fur_coat_a_pl|毛 皮 大 衣 
itm_balt_fur_coat_b|毛 皮 大 衣 
itm_balt_fur_coat_b_pl|毛 皮 大 衣 
itm_mon_lamellar_a|蒙 古 片 甲 
itm_mon_lamellar_a_pl|蒙 古 片 甲 
itm_mon_lamellar_b|蒙 古 片 甲 
itm_mon_lamellar_b_pl|蒙 古 片 甲 
itm_byz_footman_a|拜 占 庭 加 襯 布 衣 
itm_byz_footman_a_pl|拜 占 庭 加 襯 布 衣 
itm_byz_footman_b|拜 占 庭 加 襯 布 衣 
itm_byz_footman_b_pl|拜 占 庭 加 襯 布 衣 
itm_byz_footman_c|拜 占 庭 加 襯 布 衣 
itm_byz_footman_c_pl|拜 占 庭 加 襯 布 衣 
itm_byz_swordsman_1|拜 占 庭 斥 候 甲 
itm_byz_swordsman_1_pl|拜 占 庭 斥 候 甲 
itm_byz_swordsman_2|拜 占 庭 斥 候 甲 
itm_byz_swordsman_2_pl|拜 占 庭 斥 候 甲 
itm_byz_swordsman_3|拜 占 庭 斥 候 甲 
itm_byz_swordsman_3_pl|拜 占 庭 斥 候 甲 
itm_byz_swordsman_4|拜 占 庭 斥 候 甲 
itm_byz_swordsman_4_pl|拜 占 庭 斥 候 甲 
itm_byz_guard_a|拜 占 庭 衛 士 甲 
itm_byz_guard_a_pl|拜 占 庭 衛 士 甲 
itm_byz_guard_b|拜 占 庭 衛 士 甲 
itm_byz_guard_b_pl|拜 占 庭 衛 士 甲 
itm_kau_arab_nobleman|薩 拉 遜 貴 族 鎧 甲 
itm_kau_arab_nobleman_pl|薩 拉 遜 貴 族 鎧 甲 
