str_no_string|NO STRING! 
str_npc10_home_intro|Jean the Frenchman - home intro
str_npc11_home_intro|Jon the Norwegian - home intro
str_npc12_home_intro|Uilleam the Scot - home intro
str_npc13_home_intro|Aedh the Irishman - home intro
str_npc14_home_intro|Karl the Swede - home intro
str_npc15_home_intro|Ivan of Galicia - home intro
str_npc16_home_intro|不 知 你 是 否 感 興 趣， 我 在 我 們 正 經 過 的 這 個 地 方 取 得 過 我 最 為 得 意 的 一 個 醫 療 成 就。 
str_npc17_home_intro|Jaume of Aragon - home intro{***}
str_npc18_home_intro|Fernando the Castillan - home intro{***}
str_npc20_home_intro|Isma'il the Andalusian - home intro{***}
str_npc22_home_intro|Alexios the Greek - home intro{***}
str_npc23_home_intro|Hugues the Crusader - home intro{***}
str_npc24_home_intro|Dego the Sicilian - home intro{***}
str_npc25_home_intro|Balabaan the Seljuk - home intro{***}
str_npc26_home_intro|Gauthier of the Latin Empire - home intro{***}
str_npc27_home_intro|Taraqai of the Il-khanate - home intro{***}
str_npc28_home_intro|Gamal the Arab - home intro{***}
str_npc29_home_intro|Dragoslav the Serbian - home intro{***}
str_npc30_home_intro|Kyril the Bulgarian - home intro{***}
str_npc31_home_intro|Ali the Berber - home intro{***}
str_npc1_home_description|沒 有 什 麼 能 比 得 上 這 片 區 域 的 漫 漫 長 冬 夜。 它 能 讓 你 真 正 開 始 享 受 那 些 生 活 中 的 小 細 節。 一 張 溫 暖 的 床， 一 堆 旺 旺 的 篝 火。 
str_npc2_home_description|Ligeikis the Balt - home description
str_npc3_home_description|游 牧 民 族 總 來 這 裡， 不 是 交 易 就 是 搶 劫。 但 在 我 祖 父 那 時， 大 部 落 統 一 了， 我 們 便 通 過 武 力 移 居 到 了 這 裡。 我 們 趕 走 了 羅 斯 人， 並 占 用 了 他 們 的 堡 壘。 
str_npc4_home_description|我 們 經 常 坐 在 一 起 看 大 海 潮 起 潮 落， 困 惑 到 底 有 沒 有 那 種 可 以 一 口 咬 碎 船 的 魚， 或 者 龍 到 底 存 不 存 在。 不 過 我 有 一 個 朋 友 從 格 陵 蘭 回 來 時， 說 他 看 見 過 一 種 只 有 一 只 眼 睛 的 人， 你 相 信 嗎？ 
str_npc5_home_description|Bolko the Pole - home description
str_npc6_home_description|當 你 來 到 斯 圖 加 爾 鎮 時， 你 會 看 見 我 父 親 一 生 中 建 造 的 大 多 數 建 築。 看 著 人 們 如 何 把 空 曠 的 土 地 變 成 石 頭 的 山 脈， 這 很 神 奇。 創 造 這 些 建 築 的 工 程 師 們 似 乎 有 無 窮 的 創 造 力。 
str_npc7_home_description|Istvan the Hungarian - home description
str_npc8_home_description|Yuriy of Novgorod - home description
str_npc9_home_description|這 個 城 鎮 的 人 從 來 都 不 是 戰 士。 他 們 並 不 是 懦 夫， 我 想 我 能 說 服 他 們 武 裝 起 來 包 圍 自 己 的 家 鄉， 但 他 們 確 實 也 不 是 戰 士。 面 對 訓 練 有 素 裝 備 優 良 的 敵 人， 光 有 戰 鬥 的 激 情， 那 是 不 夠 的。 
str_npc10_home_description|Jean the Frenchman - home description
str_npc11_home_description|Jon the Norwegian - home description
str_npc12_home_description|Uilleam the Scot - home description
str_npc13_home_description|Aedh the Irishman - home description
str_npc14_home_description|Karl the Swede - home description
str_npc15_home_description|Ivan of Galicia - home description
str_npc16_home_description|There was a public house here once, maybe it's still there. Anyway, one particular night, all the tenants of the house were complaining about stomach pains. Fortunately for them, I was traveling to adimproved Abbey and this was a place for me to rest my weary legs. Anyway, I was a man of the cloth then, and less inclined to require money for my services, so I set about to examine the patients and see if I could help them.
str_npc17_home_description|Jaume of Aragon - home description{***}
str_npc18_home_description|Fernando the Castillan - home description{***}
str_npc20_home_description|Isma'il the Andalusian - home description{***}
str_npc22_home_description|Alexios the Greek - home description{***}
str_npc23_home_description|Hugues the Crusader - home description{***}
str_npc24_home_description|Dego the Sicilian - home description{***}
str_npc25_home_description|Balabaan the Seljuk - home description{***}
str_npc26_home_description|Gauthier of the Latin Empire - home description{***}
str_npc27_home_description|Taraqai of the Il-khanate - home description{***}
str_npc28_home_description|Gamal the Arab - home description{***}
str_npc29_home_description|Dragoslav the Serbian - home description{***}
str_npc30_home_description|Kyril the Bulgarian - home description{***}
str_npc31_home_description|Ali the Berber - home description{***}
str_npc1_home_description_2|I know that if I am ever allowed to return to this most blessed part of the world I will never again complain of the cold, or look upon the long winter nights with distain again. I am hopeful Sir that one day I will be allowed to return back to the fold.
str_npc2_home_description_2|Ligeikis the Balt - home description 2
str_npc3_home_description_2|當 然， 你 知 道 事 情 會 怎 麼 發 展 的。 我 父 親 那 一 帶 都 是 成 長 在 大 山 那 邊 寒 冷 土 地 的 勇 猛 戰 士。 但 到 我 這 一 代 卻 都 在 城 裡 擁 有 房 子 和 地 產， 我 們 用 在 做 生 意 的 時 間 和 練 習 射 箭 的 一 樣 多。 等 到 下 一 代， 人 被 酒 變 得 更 軟 弱， 那 時 他 們 肯 定 會 被 另 一 批 山 那 邊 來 的 戰 士 從 自 己 的 土 地 上 趕 走。 走 著 瞧 吧， 大 汗 沒 有 辦 法 永 遠 讓 帝 國 統 一。 
str_npc4_home_description_2|不 論 你 想 好 好 談 心 或 者 想 聽 奇 幻 的 北 方 傳 奇， 我 的 家 鄉 都 是 一 個 完 美 的 地 方。 在 斯 堪 的 納 維 亞， 神 話 傳 說 和 現 實 似 乎 融 合 到 了 一 起。 這 就 是 為 什 麼， 我 們 會 是 這 個 世 界 上 最 無 畏 和 最 開 放 的 民 族。 
str_npc5_home_description_2|Bolko the Pole - home description 2
str_npc6_home_description_2|Perhaps we should visit there one day together I should know at least 4 tavern owners in the city by now if they have taken the more tradional father, son career path that I have spurned in order to serve with you.
str_npc7_home_description_2|Istvan the Hungarian - home description 2
str_npc8_home_description_2|Yuriy of Novgorod - home description 2
str_npc9_home_description_2|I would love to take you there, show you the water mill, and the great church that was being built when I left. Unfortunately, I fear I can't return, at least not yet. I breaks my heart to think of this, let's not tarry.
str_npc10_home_description_2|Jean the Frenchman - home description 2
str_npc11_home_description_2|Jon the Norwegian - home description 2
str_npc12_home_description_2|Uilleam the Scot - home description 2
str_npc13_home_description_2|Aedh the Irishman - home description 2
str_npc14_home_description_2|Karl the Swede - home description 2
str_npc15_home_description_2|Ivan of Galicia - home description 2
str_npc16_home_description_2|Most people wouldn't believe it, but sanitation and hygiene is critical to health and healing. There was definitely something off about the porridge that was served to them that night, and although I don't know exactly what it was, I was able to save all their lives with a tincture of fish oil to help them empty their bowels. Not one of them died!
str_npc17_home_description_2|Jaume of Aragon - home description 2{***}
str_npc18_home_description_2|Fernando the Castillan - home description 2{***}
str_npc20_home_description_2|Isma'il the Andalusian - home description 2{***}
str_npc22_home_description_2|Alexios the Greek - home description 2{***}
str_npc23_home_description_2|Hugues the Crusader - home description 2{***}
str_npc24_home_description_2|Dego the Sicilian - home description 2{***}
str_npc25_home_description_2|Balabaan the Seljuk - home description 2{***}
str_npc26_home_description_2|Gauthier of the Latin Empire - home description 2{***}
str_npc27_home_description_2|Taraqai of the Il-khanate - home description 2{***}
str_npc28_home_description_2|Gamal the Arab - home description 2{***}
str_npc29_home_description_2|Dragoslav the Serbian - home description 2{***}
str_npc30_home_description_2|Kyril the Bulgarian - home description 2{***}
str_npc31_home_description_2|Ali the Berber - home description 2{***}
str_npc1_home_recap|我 是 一 個 丟 臉 的 條 頓 騎 士， 尋 找 救 贖。 
str_npc2_home_recap|Ligeikis the Balt - home recap
str_npc3_home_recap|越 過 大 森 林， 山 的 另 一 邊 是 高 原， 我 就 在 那 裡 出 生。 不 過 我 也 有 親 戚 在 {s21}。 
str_npc4_home_recap|我 是 一 個 丹 麥 人， 為 了 取 悅 神， 我 被 從 船 上 了 下 去。 
str_npc5_home_recap|Bolko the Pole - home recap
str_npc6_home_recap|我 的 父 親， 一 個 建 築 大 師， 還 有 我 的 母 親， 在 我 18歲 以 前 都 去 世 了。 
str_npc7_home_recap|Istvan the Hungarian - home recap
str_npc8_home_recap|Yuriy of Novgorod - home recap
str_npc9_home_recap|我 是 一 個 啤 酒 釀 造 師， 當 我 說 服 村 裡 人 進 行 一 次 自 殺 性 攻 擊 之 後， 我 被 迫 離 開 了 我 的 村 莊。 
str_npc10_home_recap|Jean the Frenchman - home recap
str_npc11_home_recap|Jon the Norwegian - home recap
str_npc12_home_recap|Uilleam the Scot - home recap
str_npc13_home_recap|Aedh the Irishman - home recap
str_npc14_home_recap|Karl the Swede - home recap
str_npc15_home_recap|Ivan of Galicia - home recap
str_npc16_home_recap|我 來 自 葡 萄 牙， 是 一 個 被 剝 奪 了 特 權 的 僧 侶。 我 想 尋 找 新 的 生 活。 
str_npc17_home_recap|Jaume of Aragon - home recap{***}
str_npc18_home_recap|Fernando the Castillan - home recap{***}
str_npc20_home_recap|Isma'il the Andalusian - home recap{***}
str_npc22_home_recap|Alexios the Greek - home recap{***}
str_npc23_home_recap|Hugues the Crusader - home recap{***}
str_npc24_home_recap|Dego the Sicilian - home recap{***}
str_npc25_home_recap|Balabaan the Seljuk - home recap{***}
str_npc26_home_recap|Gauthier of the Latin Empire - home recap{***}
str_npc27_home_recap|Taraqai of the Il-khanate - home recap{***}
str_npc28_home_recap|Gamal the Arab - home recap{***}
str_npc29_home_recap|Dragoslav the Serbian - home recap{***}
str_npc30_home_recap|Kyril the Bulgarian - home recap{***}
str_npc31_home_recap|Ali the Berber - home recap{***}
str_npc1_honorific|老 板 
str_npc2_honorific|{先 生/夫 人} 
str_npc3_honorific|{先 生/夫 人} 
str_npc4_honorific|隊 長 
str_npc5_honorific|{playername} 閣 下 
str_npc6_honorific|隊 長 
str_npc7_honorific|隊 長 
str_npc8_honorific|{playername} 
str_npc9_honorific|{仁 慈 的 先 生/仁 慈 的 女 士} 
str_npc10_honorific|{兄 弟/姐 姐} 
str_npc11_honorific|{小 伙 子/小 姑 娘}— — 我 是 說 隊 長 
str_npc12_honorific|隊 長 
str_npc13_honorific|哦， 勇 敢 的 家 伙。 
str_npc14_honorific|指 揮 官 
str_npc15_honorific|隊 長 
str_npc16_honorific|隊 長 
str_npc17_honorific|Jaume of Aragon - honorific{***}
str_npc18_honorific|Fernando the Castillan - honorific{***}
str_npc20_honorific|Isma'il the Andalusian - honorific{***}
str_npc22_honorific|Alexios the Greek - honorific{***}
str_npc23_honorific|Hugues the Crusader - honorific{***}
str_npc24_honorific|Dego the Sicilian - honorific{***}
str_npc25_honorific|captain{***}
str_npc26_honorific|{sir/madame}{***}
str_npc27_honorific|{playername}-baghatur{***}
str_npc28_honorific|Gamal the Arab - honorific{***}
str_npc29_honorific|Dragoslav the Serbian - honorific{***}
str_npc30_honorific|Kyril the Bulgarian - honorific{***}
str_npc31_honorific|Ali the Berber - honorific{***}
str_npc1_kingsupport_1|大 人， 我 將 全 力 支 持 你。 作 為 神 聖 的 騎 士 團 的 一 員， 我 學 會 了 區 別 善 與 惡， 自 私 與 無 私。 而 你 在 我 的 眼 中 絕 對 是 人 民 優 秀 的 領 袖。 
str_npc2_kingsupport_1|Ligeikis the Balt - kingsupport 1
str_npc3_kingsupport_1|不 錯 的 主 意。 你 的 表 現 說 明 你 知 道 如 何 統 治 人。 我 提 醒 你 應 該 公 正 地 實 行 統 治， 雖 然... 
str_npc4_kingsupport_1|大 人， 你 會 是 一 個 出 色 的 領 袖。 我 們 一 起 戰 鬥 的 這 段 時 間， 我 非 常 清 楚 的 發 現 你 表 現 出 了 對 其 他 人 境 況 的 同 情 和 理 解。 
str_npc5_kingsupport_1|Bolko the Pole - kingsupport 1
str_npc6_kingsupport_1|Johann of the HRE - kingsupport 1
str_npc7_kingsupport_1|Istvan the Hungarian - kingsupport 1
str_npc8_kingsupport_1|Yuriy of Novgorod - kingsupport 1
str_npc9_kingsupport_1|恩， 隊 長， 我 支 持 你。 我 認 為 你 會 給 歐 洲 帶 來 開 明 的 統 治， 這 是 我 們 所 一 直 期 待 的。 
str_npc10_kingsupport_1|Jean the Frenchman - kingsupport 1
str_npc11_kingsupport_1|Jon the Norwegian - kingsupport 1
str_npc12_kingsupport_1|Uilleam the Scot - kingsupport 1
str_npc13_kingsupport_1|Aedh the Irishman - kingsupport 1
str_npc14_kingsupport_1|Karl the Swede - kingsupport 1
str_npc15_kingsupport_1|Ivan of Galicia - kingsupport 1
str_npc16_kingsupport_1|我 能 肯 定 你 會 是 一 個 好 國 王。 我 必 須 自 誇 一 下， 我 天 生 很 會 判 斷。 你 已 經 證 明 了 你 比 所 有 其 他 那 些 自 稱 君 主 的 人 都 更 懂 得 憐 憫。 
str_npc17_kingsupport_1|Jaume of Aragon - kingsupport 1{***}
str_npc18_kingsupport_1|Fernando the Castillan - kingsupport 1{***}
str_npc20_kingsupport_1|Isma'il the Andalusian - kingsupport 1{***}
str_npc22_kingsupport_1|Alexios the Greek - kingsupport 1{***}
str_npc23_kingsupport_1|Hugues the Crusader - kingsupport 1{***}
str_npc24_kingsupport_1|Dego the Sicilian - kingsupport 1{***}
str_npc25_kingsupport_1|Balabaan the Seljuk - kingsupport 1{***}
str_npc26_kingsupport_1|Gauthier of the Latin Empire - kingsupport 1{***}
str_npc27_kingsupport_1|Taraqai of the Il-khanate - kingsupport 1{***}
str_npc28_kingsupport_1|Gamal the Arab - kingsupport 1{***}
str_npc29_kingsupport_1|Dragoslav the Serbian - kingsupport 1{***}
str_npc30_kingsupport_1|Kyril the Bulgarian - kingsupport 1{***}
str_npc31_kingsupport_1|Ali the Berber - kingsupport 1{***}
str_npc1_kingsupport_2|However, I would ask that you educated the people and bring them towards the light give them the chance to become free and worthy. Let them advance themselves through hard work and honesty, and not be held back by old traditions and systems of slavery.
str_npc2_kingsupport_2|Ligeikis the Balt - kingsupport 2
str_npc3_kingsupport_2|好， 我 願 意。 但 我 得 替 如 我 一 樣 來 自 草 原 的 人 提 前 說 一 句。 如 果 我 們 能 聽 見 將 來 要 做 汗 的 人 親 口 說， 你 能 恢 復 我 們 古 老 的 權 利， 那 我 們 會 非 常 高 興。 早 在 古 代 君 王 的 時 代， 草 原 上 的 人 就 享 受 將 他 們 的 畜 群 帶 往 新 牧 場 或 者 市 場 的 權 利。 這 佯 做 必 然 會 經 過 屬 於 這 個 區 域 領 主 的 土 地。 
str_npc4_kingsupport_2|Then given all that I have said, Jarl, it is important to remember your inner steel and not tread to lighty when dealing with folk. Respect is still an important tool for a king and dont forget it Jarl. Without respect you would not be in this position launch your claim. Remember this and all will be well.
str_npc5_kingsupport_2|Bolko the Pole - kingsupport 2
str_npc6_kingsupport_2|Johann of the HRE - kingsupport 2
str_npc7_kingsupport_2|Istvan the Hungarian - kingsupport 2
str_npc8_kingsupport_2|Yuriy of Novgorod - kingsupport 2
str_npc9_kingsupport_2|這 個 世 界 大 多 數 的 領 主， 他 們 的 特 權 從 不 會 為 農 民 牟 利， 難 道 不 是 嗎？ 我 可 以 說 服 那 些 下 層 的 人 們， 皮 匠、 鐵 匠 又 或 者 木 匠 支 持 你。 他 們 是 這 個 世 界 的 建 設 者， 也 只 有 在 他 們 的 幫 助 下， 你 才 能 建 設 自 己 的 王 國。 
str_npc10_kingsupport_2|Jean the Frenchman - kingsupport 2
str_npc11_kingsupport_2|Jon the Norwegian - kingsupport 2
str_npc12_kingsupport_2|Uilleam the Scot - kingsupport 2
str_npc13_kingsupport_2|Aedh the Irishman - kingsupport 2
str_npc14_kingsupport_2|Karl the Swede - kingsupport 2
str_npc15_kingsupport_2|Ivan of Galicia - kingsupport 2
str_npc16_kingsupport_2|當 然 了， 隊 長。 如 果 你 要 問 我 在 旅 途 中 學 到 什 麼 的 話， 我 會 說 傳 統。 我 們 應 該 按 照 我 們 祖 先 方 式 行 事。 雖 然 那 時 能 讀 懂 法 律 的 人 可 能 不 超 過 一 百， 但 法 律 還 是 一 代 又 一 代 的 傳 了 下 來。 
str_npc17_kingsupport_2|Jaume of Aragon - kingsupport 2{***}
str_npc18_kingsupport_2|Fernando the Castillan - kingsupport 2{***}
str_npc20_kingsupport_2|Isma'il the Andalusian - kingsupport 2{***}
str_npc22_kingsupport_2|Alexios the Greek - kingsupport 2{***}
str_npc23_kingsupport_2|Hugues the Crusader - kingsupport 2{***}
str_npc24_kingsupport_2|Dego the Sicilian - kingsupport 2{***}
str_npc25_kingsupport_2|Balabaan the Seljuk - kingsupport 2{***}
str_npc26_kingsupport_2|Gauthier of the Latin Empire - kingsupport 2{***}
str_npc27_kingsupport_2|Taraqai of the Il-khanate - kingsupport 2{***}
str_npc28_kingsupport_2|Gamal the Arab - kingsupport 2{***}
str_npc29_kingsupport_2|Dragoslav the Serbian - kingsupport 2{***}
str_npc30_kingsupport_2|Kyril the Bulgarian - kingsupport 2{***}
str_npc31_kingsupport_2|Ali the Berber - kingsupport 2{***}
str_npc1_kingsupport_2a|A most enlighten view of the future.
str_npc2_kingsupport_2a|Ligeikis the Balt - kingsupport 2a
str_npc3_kingsupport_2a|請 繼 續… … 
str_npc4_kingsupport_2a|這 是 來 自 武 士 很 睿 智 的 話 語。 
str_npc5_kingsupport_2a|Bolko the Pole - kingsupport 2a
str_npc6_kingsupport_2a|Johann of the HRE - kingsupport 2a
str_npc7_kingsupport_2a|Istvan the Hungarian - kingsupport 2a
str_npc8_kingsupport_2a|Yuriy of Novgorod - kingsupport 2a
str_npc9_kingsupport_2a|請 繼 續… … 
str_npc10_kingsupport_2a|Jean the Frenchman - kingsupport 2a
str_npc11_kingsupport_2a|Jon the Norwegian - kingsupport 2a
str_npc12_kingsupport_2a|Uilleam the Scot - kingsupport 2a
str_npc13_kingsupport_2a|Aedh the Irishman - kingsupport 2a
str_npc14_kingsupport_2a|Karl the Swede - kingsupport 2a
str_npc15_kingsupport_2a|Ivan of Galicia - kingsupport 2a
str_npc16_kingsupport_2a|很 有 意 思， 請 繼 續… … 
str_npc17_kingsupport_2a|Jaume of Aragon - kingsupport 2a{***}
str_npc18_kingsupport_2a|Fernando the Castillan - kingsupport 2a{***}
str_npc20_kingsupport_2a|Isma'il the Andalusian - kingsupport 2a{***}
str_npc22_kingsupport_2a|Alexios the Greek - kingsupport 2a{***}
str_npc23_kingsupport_2a|Hugues the Crusader - kingsupport 2a{***}
str_npc24_kingsupport_2a|Dego the Sicilian - kingsupport 2a{***}
str_npc25_kingsupport_2a|Balabaan the Seljuk - kingsupport 2a{***}
str_npc26_kingsupport_2a|Gauthier of the Latin Empire - kingsupport 2a{***}
str_npc27_kingsupport_2a|Taraqai of the Il-khanate - kingsupport 2a{***}
str_npc28_kingsupport_2a|Gamal the Arab - kingsupport 2a{***}
str_npc29_kingsupport_2a|Dragoslav the Serbian - kingsupport 2a{***}
str_npc30_kingsupport_2a|Kyril the Bulgarian - kingsupport 2a{***}
str_npc31_kingsupport_2a|Ali the Berber - kingsupport 2a{***}
str_npc1_kingsupport_2b|我 認 為 你 所 謂“ 農 民 的 權 利” 的 觀 點， 和 我 很 不 同。 我 們 以 後 都 不 要 討 論 這 個 話 題 了。 
str_npc2_kingsupport_2b|Ligeikis the Balt - kingsupport 2b
str_npc3_kingsupport_2b|我 想 成 為 {國 王/女 王}， 但 我 可 不 想 卷 進 那 些 游 牧 的 瑣 事。 
str_npc4_kingsupport_2b|或 許 我 們 應 該 再 討 論 一 下 這 個 話 題， 等 你 有 時 間 再 去 好 好 想 想 之 後。 
str_npc5_kingsupport_2b|Bolko the Pole - kingsupport 2b
str_npc6_kingsupport_2b|Johann of the HRE - kingsupport 2b
str_npc7_kingsupport_2b|Istvan the Hungarian - kingsupport 2b
str_npc8_kingsupport_2b|Yuriy of Novgorod - kingsupport 2b
str_npc9_kingsupport_2b|I do not ask for their support, as they would no doubt wish to make a profit on the transaction.
str_npc10_kingsupport_2b|Jean the Frenchman - kingsupport 2b
str_npc11_kingsupport_2b|Jon the Norwegian - kingsupport 2b
str_npc12_kingsupport_2b|Uilleam the Scot - kingsupport 2b
str_npc13_kingsupport_2b|Aedh the Irishman - kingsupport 2b
str_npc14_kingsupport_2b|Karl the Swede - kingsupport 2b
str_npc15_kingsupport_2b|Ivan of Galicia - kingsupport 2b
str_npc16_kingsupport_2b|Enough, sir. I will not have you mock our traditions.
str_npc17_kingsupport_2b|Jaume of Aragon - kingsupport 2b{***}
str_npc18_kingsupport_2b|Fernando the Castillan - kingsupport 2b{***}
str_npc20_kingsupport_2b|Isma'il the Andalusian - kingsupport 2b{***}
str_npc22_kingsupport_2b|Alexios the Greek - kingsupport 2b{***}
str_npc23_kingsupport_2b|Hugues the Crusader - kingsupport 2b{***}
str_npc24_kingsupport_2b|Dego the Sicilian - kingsupport 2b{***}
str_npc25_kingsupport_2b|Balabaan the Seljuk - kingsupport 2b{***}
str_npc26_kingsupport_2b|Gauthier of the Latin Empire - kingsupport 2b{***}
str_npc27_kingsupport_2b|Taraqai of the Il-khanate - kingsupport 2b{***}
str_npc28_kingsupport_2b|Gamal the Arab - kingsupport 2b{***}
str_npc29_kingsupport_2b|Dragoslav the Serbian - kingsupport 2b{***}
str_npc30_kingsupport_2b|Kyril the Bulgarian - kingsupport 2b{***}
str_npc31_kingsupport_2b|Ali the Berber - kingsupport 2b{***}
str_npc1_kingsupport_3|It is sad to say that when it comes to the future of a Kingdom nothing would stand in the way of a few greedy men trying to snatch the throne in the enternal power struggle. Therefore I think given your respect for the right of man you would be a better leader of a united land than all of the current leaders. So if you give me a few weeks I will spread your stories of your fitness to rule far and wide in the Christian lands. If that meets your approval?
str_npc2_kingsupport_3|Ligeikis the Balt - kingsupport 3
str_npc3_kingsupport_3|不 論 如 何， 大 人， 在 這 個 傷 心 的 時 代， 擁 有 大 量 地 產 的 人 阻 擋 了 我 們 的 去 路， 他 們 還 建 立 龐 大 的 軍 隊。 這 對 於 我 的 族 人 來 說 是 個 很 大 的 負 擔。 如 果 我 能 花 幾 個 星 期 讓 草 原 上 的 人 知 道， 你 會 支 持 恢 復 我 們 草 原 的 傳 統， 那 麼， 我 認 為 將 會 有 很 多 人 支 持 你 做 可 汗。 讓 人 們 稱 呼 你 為 可 汗， 這 是 成 為 一 個 可 汗 的 第 一 步。 
str_npc4_kingsupport_3|確 實， 知 道 你 會 公 平 的 對 待 那 些 忠 誠 為 你 服 務 的 人 之 後， 我 很 高 興 有 機 會 能 支 持 你 的 勢 力。 現 在 的 國 王 似 乎 都 以 為 王 權 就 是 每 天 以 殺 人 為 樂。 如 果 你 能 給 我 幾 周 時 間， 我 會 去 每 個 港 口 的 酒 館， 給 大 家 講 你 慷 慨 和 公 正 無 私 的 事 跡。 人 們 會 來 乞 求 你 接 管 他 們 的 土 地。 你 看 這 樣 行 嗎， 隊 長？ 
str_npc5_kingsupport_3|Bolko the Pole - kingsupport 3
str_npc6_kingsupport_3|Johann of the HRE - kingsupport 3
str_npc7_kingsupport_3|Istvan the Hungarian - kingsupport 3
str_npc8_kingsupport_3|Yuriy of Novgorod - kingsupport 3
str_npc9_kingsupport_3|If you like, captain, I can take a few weeks to visit the public houses where I have contacts, and explain to them that, in you, they will have a {king/ruler} who will check the rapacious nobles, who, with their tariffs and wars, would strangle the populace out of their sons and their livelihood. What do you say to that, captain?
str_npc10_kingsupport_3|Jean the Frenchman - kingsupport 3
str_npc11_kingsupport_3|Jon the Norwegian - kingsupport 3
str_npc12_kingsupport_3|Uilleam the Scot - kingsupport 3
str_npc13_kingsupport_3|Aedh the Irishman - kingsupport 3
str_npc14_kingsupport_3|Karl the Swede - kingsupport 3
str_npc15_kingsupport_3|Ivan of Galicia - kingsupport 3
str_npc16_kingsupport_3|但 是 你 知 道 嗎？ 涉 及 王 位 時， 根 本 沒 有 所 謂 的 法 律。 有 時 候 王 位 由 父 親 傳 給 他 的 兒 子， 有 時 候 王 國 被 幾 個 將 軍 分 裂。 有 時 候 現 任 國 王 謀 殺 了 上 任 國 王。 要 成 為 一 個 {國 王/國 王 或 者 女 王}， 沒 有 所 謂 正 確 的 途 徑。 王 位 應 該 傳 給 最 適 合 統 治 的 人。 您， 當 然 會 是 這 麼 一 個 人。 給 我 幾 周 時 間， 我 會 寫 一 份 傳 單 證 明 這 一 點， 並 把 它 張 貼 在 各 個 酒 館。 隊 長， 你 說 這 個 主 意 如 何？ 
str_npc17_kingsupport_3|Jaume of Aragon - kingsupport 3{***}
str_npc18_kingsupport_3|Fernando the Castillan - kingsupport 3{***}
str_npc20_kingsupport_3|Isma'il the Andalusian - kingsupport 3{***}
str_npc22_kingsupport_3|Alexios the Greek - kingsupport 3{***}
str_npc23_kingsupport_3|Hugues the Crusader - kingsupport 3{***}
str_npc24_kingsupport_3|Dego the Sicilian - kingsupport 3{***}
str_npc25_kingsupport_3|Balabaan the Seljuk - kingsupport 3{***}
str_npc26_kingsupport_3|Gauthier of the Latin Empire - kingsupport 3{***}
str_npc27_kingsupport_3|Taraqai of the Il-khanate - kingsupport 3{***}
str_npc28_kingsupport_3|Gamal the Arab - kingsupport 3{***}
str_npc29_kingsupport_3|Dragoslav the Serbian - kingsupport 3{***}
str_npc30_kingsupport_3|Kyril the Bulgarian - kingsupport 3{***}
str_npc31_kingsupport_3|Ali the Berber - kingsupport 3{***}
str_npc1_kingsupport_objection|Leige I have heard that you have made Jaume a representive of your thoughts and wishes regarding the future of the kingdom! I never thought I would see you betray your values like this in public. You insult all of us who would of seen you made Leader of this land.
str_npc2_kingsupport_objection|Ligeikis the Balt - kingsupport objection
str_npc3_kingsupport_objection|我 聽 到 了 你 告 訴 雨 果 的 話。 但 是 我 很 困 惑， 如 果 靠 種 地 謀 生 的 領 主 還 有 靠 交 易 謀 生 的 商 人 能 決 定 征 什 麼 稅 的 話， 那 到 底 最 後 誰 會 交 稅？ 當 然 是 靠 放 牧 生 活 的 人— — 我 的 族 人， 那 些 生 活 在 草 原 的 人。 那 些 議 會 和 我 毫 不 相 干。 所 有 自 由 的 人 都 應 該 在 可 汗 之 下 團 結 如 一。 
str_npc4_kingsupport_objection|隊 長！ 為 什 麼 你 讓 烏 爾 裡 希 在 這 麼 重 要 的 事 情 上 代 表 你？ 這 關 系 到 您 將 來 的 計 劃。 他 會 讓 普 通 人 根 本 不 尊 重 你， 僅 僅 是 忍 耐！ 在 一 起 戰 鬥 了 這 麼 長 時 間， 你 怎 麼 能 為 了 這 片 土 地 的 王 座 就 這 麼 便 宜 的 賣 了 我 們？ 
str_npc5_kingsupport_objection|Bolko the Pole - kingsupport objection
str_npc6_kingsupport_objection|{先 生/女 士} I feeL sending Martio off on a mission to gather support from the people for your cause. I fear he will do more harm than good, promising the poor unrealistic rewards and threatening the rich with a system that would undermine their wealth.
str_npc7_kingsupport_objection|Istvan the Hungarian - kingsupport objection
str_npc8_kingsupport_objection|Yuriy of Novgorod - kingsupport objection
str_npc9_kingsupport_objection|Um, captain. Jean has ridden off to tell the lords of this land that you'll let them settle their quarrels by force and violence. You know they rarely actually fight each other, right? Most of the time, it's the villages that get clobbered in their petty disputes. Any excuse to pillage and loot, they'll take. I really hope that he misunderstood you, sir.
str_npc10_kingsupport_objection|Jean the Frenchman - kingsupport objection
str_npc11_kingsupport_objection|Jon the Norwegian - kingsupport objection
str_npc12_kingsupport_objection|Uilleam the Scot - kingsupport objection
str_npc13_kingsupport_objection|Aedh the Irishman - kingsupport objection
str_npc14_kingsupport_objection|Karl the Swede - kingsupport objection
str_npc15_kingsupport_objection|Ivan of Galicia - kingsupport objection
str_npc16_kingsupport_objection|Captain. I hear that you've gone and made Charlotta, of all people, some sort of ambassador to the aristocracy. I shudder to think of what that amoral girl might be promising them on your behalf -- and dignifying all these gross indulgences by calling them 'ancient freedoms.' By doing this, you mock those of us who who had hoped that you would have helped Chritendom escape its bloody past, and move towards a new age of peace and learning. Enough, I have said my peace.
str_npc17_kingsupport_objection|Jaume of Aragon - kingsupport objection{***}
