trp_multiplayer_profile_troop_male|聯 機 男 性 玩 家 角 色 
trp_trainer_11_pl|教 練 
trp_trainer_12|教 練 
trp_trainer_12_pl|教 練 
trp_trainer_13|教 練 
trp_trainer_13_pl|教 練 
trp_trainer_14|教 練 
trp_trainer_14_pl|教 練 
trp_trainer_15|教 練 
trp_trainer_15_pl|教 練 
trp_trainer_16|教 練 
trp_trainer_16_pl|教 練 
trp_trainer_17|教 練 
trp_trainer_17_pl|教 練 
trp_trainer_18|教 練 
trp_trainer_18_pl|教 練 
trp_ransom_broker_1|贖 金 經 紀 人 
trp_ransom_broker_1_pl|贖 金 經 紀 人 
trp_ransom_broker_2|贖 金 經 紀 人 
trp_ransom_broker_2_pl|贖 金 經 紀 人 
trp_ransom_broker_3|贖 金 經 紀 人 
trp_ransom_broker_3_pl|贖 金 經 紀 人 
trp_ransom_broker_4|贖 金 經 紀 人 
trp_ransom_broker_4_pl|贖 金 經 紀 人 
trp_ransom_broker_5|贖 金 經 紀 人 
trp_ransom_broker_5_pl|贖 金 經 紀 人 
trp_ransom_broker_6|贖 金 經 紀 人 
trp_ransom_broker_6_pl|贖 金 經 紀 人 
trp_ransom_broker_7|贖 金 經 紀 人 
trp_ransom_broker_7_pl|贖 金 經 紀 人 
trp_ransom_broker_8|贖 金 經 紀 人 
trp_ransom_broker_8_pl|贖 金 經 紀 人 
trp_ransom_broker_9|贖 金 經 紀 人 
trp_ransom_broker_9_pl|贖 金 經 紀 人 
trp_ransom_broker_10|贖 金 經 紀 人 
trp_ransom_broker_10_pl|贖 金 經 紀 人 
trp_ransom_broker_11|贖 金 經 紀 人 
trp_ransom_broker_11_pl|贖 金 經 紀 人 
trp_ransom_broker_12|贖 金 經 紀 人 
trp_ransom_broker_12_pl|贖 金 經 紀 人 
trp_ransom_broker_13|贖 金 經 紀 人 
trp_ransom_broker_13_pl|贖 金 經 紀 人 
trp_ransom_broker_14|贖 金 經 紀 人 
trp_ransom_broker_14_pl|贖 金 經 紀 人 
trp_ransom_broker_15|贖 金 經 紀 人 
trp_ransom_broker_15_pl|贖 金 經 紀 人 
trp_ransom_broker_16|贖 金 經 紀 人 
trp_ransom_broker_16_pl|贖 金 經 紀 人 
trp_ransom_broker_17|贖 金 經 紀 人 
trp_ransom_broker_17_pl|贖 金 經 紀 人 
trp_ransom_broker_18|贖 金 經 紀 人 
trp_ransom_broker_18_pl|贖 金 經 紀 人 
trp_ransom_broker_19|贖 金 經 紀 人 
trp_ransom_broker_19_pl|贖 金 經 紀 人 
trp_ransom_broker_20|贖 金 經 紀 人 
trp_ransom_broker_20_pl|贖 金 經 紀 人 
trp_ransom_broker_21|贖 金 經 紀 人 
trp_ransom_broker_21_pl|贖 金 經 紀 人 
trp_ransom_broker_22|贖 金 經 紀 人 
trp_ransom_broker_22_pl|贖 金 經 紀 人 
trp_ransom_broker_23|贖 金 經 紀 人 
trp_ransom_broker_23_pl|贖 金 經 紀 人 
trp_ransom_broker_24|贖 金 經 紀 人 
trp_ransom_broker_24_pl|贖 金 經 紀 人 
trp_ransom_broker_25|贖 金 經 紀 人 
trp_ransom_broker_25_pl|贖 金 經 紀 人 
trp_ransom_broker_26|贖 金 經 紀 人 
trp_ransom_broker_26_pl|贖 金 經 紀 人 
trp_ransom_broker_27|贖 金 經 紀 人 
trp_ransom_broker_27_pl|贖 金 經 紀 人 
trp_ransom_broker_28|贖 金 經 紀 人 
trp_ransom_broker_28_pl|贖 金 經 紀 人 
trp_ransom_broker_29|贖 金 經 紀 人 
trp_ransom_broker_29_pl|贖 金 經 紀 人 
trp_ransom_broker_30|贖 金 經 紀 人 
trp_ransom_broker_30_pl|贖 金 經 紀 人 
trp_ransom_broker_31|贖 金 經 紀 人 
trp_ransom_broker_31_pl|贖 金 經 紀 人 
trp_ransom_broker_32|贖 金 經 紀 人 
trp_ransom_broker_32_pl|贖 金 經 紀 人 
trp_ransom_broker_33|贖 金 經 紀 人 
trp_ransom_broker_33_pl|贖 金 經 紀 人 
trp_ransom_broker_34|贖 金 經 紀 人 
trp_ransom_broker_34_pl|贖 金 經 紀 人 
trp_ransom_broker_35|贖 金 經 紀 人 
trp_ransom_broker_35_pl|贖 金 經 紀 人 
trp_ransom_broker_36|贖 金 經 紀 人 
trp_ransom_broker_36_pl|贖 金 經 紀 人 
trp_ransom_broker_37|贖 金 經 紀 人 
trp_ransom_broker_37_pl|贖 金 經 紀 人 
trp_ransom_broker_38|贖 金 經 紀 人 
trp_ransom_broker_38_pl|贖 金 經 紀 人 
trp_ransom_broker_39|贖 金 經 紀 人 
trp_ransom_broker_39_pl|贖 金 經 紀 人 
trp_ransom_broker_40|贖 金 經 紀 人 
trp_ransom_broker_40_pl|贖 金 經 紀 人 
trp_tavern_traveler_1|旅 行 者 
trp_tavern_traveler_1_pl|旅 行 者 
trp_tavern_traveler_2|旅 行 者 
trp_tavern_traveler_2_pl|旅 行 者 
trp_tavern_traveler_3|旅 行 者 
trp_tavern_traveler_3_pl|旅 行 者 
trp_tavern_traveler_4|旅 行 者 
trp_tavern_traveler_4_pl|旅 行 者 
trp_tavern_traveler_5|旅 行 者 
trp_tavern_traveler_5_pl|旅 行 者 
trp_tavern_traveler_6|旅 行 者 
trp_tavern_traveler_6_pl|旅 行 者 
trp_tavern_traveler_7|旅 行 者 
trp_tavern_traveler_7_pl|旅 行 者 
trp_tavern_traveler_8|旅 行 者 
trp_tavern_traveler_8_pl|旅 行 者 
trp_tavern_traveler_9|旅 行 者 
trp_tavern_traveler_9_pl|旅 行 者 
trp_tavern_traveler_10|旅 行 者 
trp_tavern_traveler_10_pl|旅 行 者 
trp_tavern_traveler_11|旅 行 者 
trp_tavern_traveler_11_pl|旅 行 者 
trp_tavern_traveler_12|旅 行 者 
trp_tavern_traveler_12_pl|旅 行 者 
trp_tavern_traveler_13|旅 行 者 
trp_tavern_traveler_13_pl|旅 行 者 
trp_tavern_traveler_14|旅 行 者 
trp_tavern_traveler_14_pl|旅 行 者 
trp_tavern_traveler_15|旅 行 者 
trp_tavern_traveler_15_pl|旅 行 者 
trp_tavern_traveler_16|旅 行 者 
trp_tavern_traveler_16_pl|旅 行 者 
trp_tavern_traveler_17|旅 行 者 
trp_tavern_traveler_17_pl|旅 行 者 
trp_tavern_traveler_18|旅 行 者 
trp_tavern_traveler_18_pl|旅 行 者 
trp_tavern_traveler_19|旅 行 者 
trp_tavern_traveler_19_pl|旅 行 者 
trp_tavern_traveler_20|旅 行 者 
trp_tavern_traveler_20_pl|旅 行 者 
trp_tavern_traveler_21|旅 行 者 
trp_tavern_traveler_21_pl|旅 行 者 
trp_tavern_traveler_22|旅 行 者 
trp_tavern_traveler_22_pl|旅 行 者 
trp_tavern_traveler_23|旅 行 者 
trp_tavern_traveler_23_pl|旅 行 者 
trp_tavern_traveler_24|旅 行 者 
trp_tavern_traveler_24_pl|旅 行 者 
trp_tavern_traveler_25|旅 行 者 
trp_tavern_traveler_25_pl|旅 行 者 
trp_tavern_traveler_26|旅 行 者 
trp_tavern_traveler_26_pl|旅 行 者 
trp_tavern_traveler_27|旅 行 者 
trp_tavern_traveler_27_pl|旅 行 者 
trp_tavern_traveler_28|旅 行 者 
trp_tavern_traveler_28_pl|旅 行 者 
trp_tavern_traveler_29|旅 行 者 
trp_tavern_traveler_29_pl|旅 行 者 
trp_tavern_traveler_30|旅 行 者 
trp_tavern_traveler_30_pl|旅 行 者 
trp_tavern_bookseller_1|書 籍 商 人 
trp_tavern_bookseller_1_pl|書 籍 商 人 
trp_tavern_bookseller_2|書 籍 商 人 
trp_tavern_bookseller_2_pl|書 籍 商 人 
trp_tavern_minstrel_1|北 地 詩 人 
trp_tavern_minstrel_1_pl|詩 人 
trp_tavern_minstrel_2|吟 游 詩 人 
trp_tavern_minstrel_2_pl|詩 人 
trp_tavern_minstrel_3|宮 廷 詩 人 
trp_tavern_minstrel_3_pl|詩 人 
trp_tavern_minstrel_4|行 吟 詩 人 
trp_tavern_minstrel_4_pl|詩 人 
trp_tavern_minstrel_5|游 牧 詩 人 
trp_tavern_minstrel_5_pl|詩 人 
trp_tavern_minstrel_6|北 地 詩 人 
trp_tavern_minstrel_6_pl|詩 人 
trp_tavern_minstrel_7|吟 游 詩 人 
trp_tavern_minstrel_7_pl|詩 人 
trp_tavern_minstrel_8|宮 廷 詩 人 
trp_tavern_minstrel_8_pl|詩 人 
trp_tavern_minstrel_9|行 吟 詩 人 
trp_tavern_minstrel_9_pl|詩 人 
trp_tavern_minstrel_10|游 牧 詩 人 
trp_tavern_minstrel_10_pl|詩 人 
trp_tavern_minstrel_11|北 地 詩 人 
trp_tavern_minstrel_11_pl|詩 人 
trp_tavern_minstrel_12|吟 游 詩 人 
trp_tavern_minstrel_12_pl|詩 人 
trp_tavern_minstrel_13|宮 廷 詩 人 
trp_tavern_minstrel_13_pl|詩 人 
trp_tavern_minstrel_14|行 吟 詩 人 
trp_tavern_minstrel_14_pl|詩 人 
trp_tavern_minstrel_15|游 牧 詩 人 
trp_tavern_minstrel_15_pl|詩 人 
trp_tavern_minstrel_16|北 地 詩 人 
trp_tavern_minstrel_16_pl|詩 人 
trp_tavern_minstrel_17|吟 游 詩 人 
trp_tavern_minstrel_17_pl|詩 人 
trp_tavern_minstrel_18|宮 廷 詩 人 
trp_tavern_minstrel_18_pl|詩 人 
trp_tavern_minstrel_19|行 吟 詩 人 
trp_tavern_minstrel_19_pl|詩 人 
trp_tavern_minstrel_20|Wandering Troubadour
trp_tavern_minstrel_20_pl|詩 人 
trp_kingdom_heroes_including_player_begin|kingdom heroes including player begin 
trp_kingdom_heroes_including_player_begin_pl|kingdom heroes including player begin 
trp_npc1|烏 爾 裡 希 
trp_npc1_pl|烏 爾 裡 希 
trp_npc2|利 蓋 基 斯 
trp_npc2_pl|利 蓋 基 斯 
trp_npc3|合 丹 
trp_npc3_pl|合 丹 
trp_npc4|雅 各 布 
trp_npc4_pl|雅 各 布 
trp_npc5|博 爾 科 
trp_npc5_pl|博 爾 科 
trp_npc6|約 翰 
trp_npc6_pl|約 翰 
trp_npc7|基 坦 
trp_npc7_pl|基 坦 
trp_npc8|尤 裡 
trp_npc8_pl|尤 裡 
trp_npc9|西 蒙· 布 魯 爾 
trp_npc9_pl|西 蒙· 布 魯 爾 
trp_npc10|讓 
trp_npc10_pl|讓 
trp_npc11|喬 恩 
trp_npc11_pl|喬 恩 
trp_npc12|威 廉 
trp_npc12_pl|威 廉 
trp_npc13|阿 伊 達 
trp_npc13_pl|阿 伊 達 
trp_npc14|卡 爾 
trp_npc14_pl|卡 爾 
trp_npc15|伊 梅 克 
trp_npc15_pl|伊 梅 克 
trp_npc16|馬 蒂 奧 
trp_npc16_pl|馬 蒂 奧 
trp_npc17|豪 梅 
trp_npc17_pl|豪 梅 
trp_npc18|費 爾 南 多 
trp_npc18_pl|費 爾 南 多 
trp_npc20|伊 斯 邁 爾 
trp_npc20_pl|伊 斯 邁 爾 
trp_npc22|亞 歷 克 西 烏 斯 
trp_npc22_pl|亞 歷 克 西 烏 斯 
trp_npc23|於 格 
trp_npc23_pl|於 格 
trp_npc24|代 戈 
trp_npc24_pl|代 戈 
trp_npc25|巴 拉 班 
trp_npc25_pl|巴 拉 班 
trp_npc26|戈 蒂 耶 
trp_npc26_pl|戈 蒂 耶 
trp_npc27|塔 拉 蓋 
trp_npc27_pl|塔 拉 蓋 
trp_npc28|賈 馬 爾 
trp_npc28_pl|賈 馬 爾 
trp_npc29|德 拉 格 斯 拉 夫 
trp_npc29_pl|德 拉 格 斯 拉 夫 
trp_npc30|伊 瓦 伊 洛· 巴 爾 多 科 瓦 
trp_npc30_pl|伊 瓦 伊 洛· 巴 爾 多 科 瓦 
trp_npc31|阿 裡 
trp_npc31_pl|阿 裡 
trp_kingdom_1_lord|利 沃 尼 亞 騎 士 團 團 長，霍 恩 豪 森 的 伯 查 德
trp_kingdom_1_lord_pl|霍 恩 豪 森 的 伯 查 德 
trp_kingdom_2_lord|明 道 加 斯 國 王 
trp_kingdom_2_lord_pl|明 道 加 斯 
trp_kingdom_3_lord|別 兒 哥 汗 
trp_kingdom_3_lord_pl|別 兒 哥 
trp_kingdom_4_lord|克 裡 斯 托 弗 一 世 國 王 
trp_kingdom_4_lord_pl|克 裡 斯 托 弗 
trp_kingdom_5_lord|高 等 公 爵，波 列 斯 瓦 夫 五 世，“貞 潔 者” 
trp_kingdom_5_lord_pl|波 列 斯 瓦 夫，“貞 潔 者” 
trp_kingdom_6_lord|羅 馬 皇 帝，康 沃 爾 的 理 查 德 
trp_kingdom_6_lord_pl|康 沃 爾 的 理 查 德 
trp_kingdom_7_lord|貝 拉 四 世 國 王 
trp_kingdom_7_lord_pl|貝 拉 
trp_kingdom_8_lord|亞 歷 山 大· 涅 夫 斯 基 大 公 
trp_kingdom_8_lord_pl|亞 歷 山 大· 涅 夫 斯 基 
trp_kingdom_9_lord|亨 利 三 世 國 王 
trp_kingdom_9_lord_pl|亨 利 
trp_kingdom_10_lord|路 易 九 世 國 王 
trp_kingdom_10_lord_pl|路 易 
trp_kingdom_11_lord|哈 康 四 世 國 王 
trp_kingdom_11_lord_pl|哈 康 
trp_kingdom_12_lord|亞 歷 山 大 三 世 國 王 
trp_kingdom_12_lord_pl|亞 歷 山 大 
trp_kingdom_13_lord|布 萊 恩· 奧 奈 爾 國 王 
trp_kingdom_13_lord_pl|布 萊 恩· 奧 奈 爾 
trp_kingdom_14_lord|比 耶· 亞 爾 執 政 公 爵 
trp_kingdom_14_lord_pl|比 耶· 亞 爾 
trp_kingdom_15_lord|丹 尼 爾· 羅 曼 諾 維 奇 國 王 
trp_kingdom_15_lord_pl|丹 尼 爾· 羅 曼 諾 維 奇 
trp_kingdom_16_lord|阿 方 索 三 世 國 王 
trp_kingdom_16_lord_pl|阿 方 索 三 世 
trp_kingdom_17_lord|海 梅 一 世 國 王 “征 服 者” 
trp_kingdom_17_lord_pl|海 梅 一 世 “征 服 者” 
trp_kingdom_18_lord|阿 方 索 十 世 國 王 
trp_kingdom_18_lord_pl|阿 方 索 十 世 
trp_kingdom_19_lord|納 瓦 拉 的 泰 奧 巴 爾 多 二 世 國 王 
trp_kingdom_19_lord_pl|納 瓦 拉 的 泰 奧 巴 爾 多 二 世 
trp_kingdom_20_lord|穆 罕 默 德 一 世· 伊 本 納 斯 蘇 丹 
trp_kingdom_20_lord_pl|穆 罕 默 德 一 世· 伊 本 納 斯 
trp_pope|教 宗 歷 山 四 世 
trp_pope_pl|歷 山 四 世 
trp_kingdom_22_lord|西 奧 多 二 世· 拉 斯 卡 裡 斯 皇 帝 
trp_kingdom_22_lord_pl|西 奧 多 二 世· 拉 斯 卡 裡 斯 
trp_kingdom_23_lord|伊 貝 林 的 約 翰 執 行 官 
trp_kingdom_23_lord_pl|伊 貝 林 的 約 翰 
trp_kingdom_24_lord|曼 弗 雷 德 國 王 
trp_kingdom_24_lord_pl|曼 弗 雷 德 
trp_kingdom_25_lord|伊 茲 丁· 艾 博 克 蘇 丹 
trp_kingdom_25_lord_pl|伊 茲 丁· 艾 博 克 
trp_kingdom_26_lord|科 特 尼 的 鮑 德 溫 二 世 皇 帝 
trp_kingdom_26_lord_pl|科 特 尼 的 鮑 德 溫 二 世 
trp_kingdom_27_lord|旭 烈 兀 汗 
trp_kingdom_27_lord_pl|旭 烈 兀 
trp_kingdom_28_lord|穆 罕 默 德 一 世· 穆 斯 坦 綏 爾 哈 裡 發 
trp_kingdom_28_lord_pl|穆 罕 默 德 一 世· 穆 斯 坦 綏 爾 
trp_kingdom_29_lord|斯 特 凡· 烏 羅 什 國 王 
trp_kingdom_29_lord_pl|斯 特 凡· 烏 羅 什 
trp_kingdom_30_lord|康 斯 坦 丁 沙 皇 
trp_kingdom_30_lord_pl|康 斯 坦 丁 
trp_kingdom_31_lord|阿 蔔 杜 勒· 哈 格 蘇 丹 
trp_kingdom_31_lord_pl|阿 蔔 杜 勒· 哈 格 
trp_kingdom_32_lord|Dodge Ranieri Zen
trp_kingdom_32_lord_pl|Dodge Ranieri Zen
trp_kingdom_c_33_lord|Vyriausias Jotvingių Kunigas Skolmantas
trp_kingdom_c_33_lord_pl|Skolmantas
trp_kingdom_33_lord|Gruntauktimmis Nadruva Kunegikis Piws
trp_kingdom_33_lord_pl|Piws
trp_kingdom_b_33_lord|Vyriausias Žemaičių Kungias Alminas
trp_kingdom_b_33_lord_pl|Alminas
trp_kingdom_d_33_lord|Dižukilis Enguris
trp_kingdom_d_33_lord_pl|Enguris
trp_kingdom_35_lord|威 爾 士 王 子， 格 魯 菲 德 之 子 盧 埃 林 
trp_kingdom_35_lord_pl|格 魯 菲 德 之 子 盧 埃 林 
trp_knight_1_1|胡 貝 圖 斯 騎 士 
trp_knight_1_1_pl|胡 貝 圖 斯 
trp_knight_1_2|維 昆 騎 士 
trp_knight_1_2_pl|維 昆 
trp_knight_1_3|艾 伯 特 騎 士 
trp_knight_1_3_pl|艾 伯 特 
trp_knight_1_4|安 諾 指 揮 官 
trp_knight_1_4_pl|安 諾 
trp_knight_1_5|迪 亞 特 萊 布 主 教 
trp_knight_1_5_pl|迪 亞 特 萊 布 
trp_knight_1_6|康 拉 德 騎 士 
trp_knight_1_6_pl|康 拉 德 
trp_knight_1_7|迪 亞 特 裡 希 騎 士 
trp_knight_1_7_pl|迪 亞 特 裡 希 
trp_knight_1_8|威 爾 肯 指 揮 官 
trp_knight_1_8_pl|威 爾 肯 
trp_knight_1_9|哈 爾 特 指 揮 官 
trp_knight_1_9_pl|哈 爾 特 
trp_knight_1_10|溫 諾 主 教 
trp_knight_1_10_pl|溫 諾 
trp_knight_1_11|奧 托 騎 士 
trp_knight_1_11_pl|奧 托 
trp_knight_1_12|伍 爾 夫 騎 士 
trp_knight_1_12_pl|伍 爾 夫 
trp_knight_1_13|英 戈 爾 夫 騎 士 
trp_knight_1_13_pl|英 戈 爾 夫 
trp_knight_1_14|魯 道 夫 指 揮 官 
trp_knight_1_14_pl|魯 道 夫 
trp_knight_1_15|岡 瑟 國 家 統 帥 
trp_knight_1_15_pl|岡 瑟 
trp_knight_2_1|陶 特 維 拉 斯 公 爵 
trp_knight_2_1_pl|陶 特 維 拉 斯 
trp_knight_2_2|特 萊 尼 奧 塔 公 爵 
trp_knight_2_2_pl|特 萊 尼 奧 塔 
trp_knight_2_3|加 德 尼 斯 公 爵 
trp_knight_2_3_pl|加 德 尼 斯 
trp_knight_2_4|厄 爾 德 維 拉 斯 公 爵 
trp_knight_2_4_pl|厄 爾 德 維 拉 斯 
trp_knight_2_5|比 克 西 斯 公 爵 
trp_knight_2_5_pl|比 克 西 斯 
trp_knight_2_6|利 蓋 基 斯 公 爵 
trp_knight_2_6_pl|利 蓋 基 斯 
trp_knight_2_7|克 裡 斯 蒂 約 納 斯 主 教 
trp_knight_2_7_pl|克 裡 斯 蒂 約 納 斯 
trp_knight_2_8|萊 普 裡 斯 公 爵 
trp_knight_2_8_pl|萊 普 裡 斯 
trp_knight_2_9|戈 爾 斯 圖 卡 斯 公 爵 
trp_knight_2_9_pl|戈 爾 斯 圖 卡 斯 
trp_knight_2_10|萊 克 裡 斯 公 爵 
trp_knight_2_10_pl|萊 克 裡 斯 
trp_knight_2_11|盧 比 基 斯 公 爵 
trp_knight_2_11_pl|盧 比 基 斯 
trp_knight_2_12|維 謝 爾 加 公 爵 
trp_knight_2_12_pl|維 謝 爾 加 
trp_knight_2_13|特 萊 德 尼 斯 公 爵 
trp_knight_2_13_pl|特 萊 德 尼 斯 
trp_knight_2_14|巴 迪 斯 公 爵 
trp_knight_2_14_pl|巴 迪 斯 
trp_knight_2_15|裡 西 斯 公 爵 
trp_knight_2_15_pl|裡 西 斯 
trp_knight_3_1|多 闊 干 那 顏 
trp_knight_3_1_pl|多 闊 干 
trp_knight_3_2|塔 剌 巴 那 顏 
trp_knight_3_2_pl|塔 剌 巴 
trp_knight_3_3|拖 卡· 帖 木 兒 那 顏 
trp_knight_3_3_pl|拖 卡· 帖 木 兒 
trp_knight_3_4|巴 拉 該 那 顏 
trp_knight_3_4_pl|巴 拉 該 
trp_knight_3_5|塔 兒 突· 巴 特 爾 那 顏 
trp_knight_3_5_pl|塔 兒 突 
trp_knight_3_6|內 古 打 那 顏 
trp_knight_3_6_pl|內 古 打 
trp_knight_3_7|拜 答 兒 那 顏 
trp_knight_3_7_pl|拜 答 兒 
trp_knight_3_8|合 丹 那 顏 
trp_knight_3_8_pl|合 丹 
trp_knight_3_9|別 合 那 顏
trp_knight_3_9_pl|別 合 
trp_knight_3_10|布 合 台 那 顏 
trp_knight_3_10_pl|布 合 台 
trp_knight_3_11|拜 答 兒· 不 剌 那 顏 
trp_knight_3_11_pl|拜 答 兒· 不 剌 
trp_knight_3_12|唐 古 特· 忽 都 魯 那 顏 
trp_knight_3_12_pl|唐 古 特· 忽 都 魯 
trp_knight_3_13|乞 班 那 顏 
trp_knight_3_13_pl|乞 班 
trp_knight_3_14|勃 哥 察 那 顏 
trp_knight_3_14_pl|勃 哥 察 
trp_knight_3_15|諾 該 那 顏 
trp_knight_3_15_pl|諾 該
trp_knight_3_16|庫 賴 撒 那 顏 
trp_knight_3_16_pl|庫 賴 撒 
trp_knight_3_17|內 兀 雷 那 顏 
trp_knight_3_17_pl|內 兀 雷 
trp_knight_3_18|塔 古 答 那 顏 
trp_knight_3_18_pl|塔 古 答 
trp_knight_3_19|闊 奕 丹 那 顏 
trp_knight_3_19_pl|闊 奕 丹 
trp_knight_3_20|錫 巴 黑 那 顏 
trp_knight_3_20_pl|錫 巴 黑 
trp_knight_4_1|瓦 爾 德 馬· 斯 拉 維 奇 地 方 官 
trp_knight_4_1_pl|瓦 爾 德 馬· 斯 拉 維 奇 
trp_knight_4_2|埃 瑞 克 一 世· 埃 貝 爾 森 公 爵 
trp_knight_4_2_pl|埃 瑞 克 一 世· 埃 貝 爾 森
trp_knight_4_3|雅 各 布· 厄 蘭 森 大 主 教 
trp_knight_4_3_pl|雅 各 布· 厄 蘭 森 
trp_knight_4_4|安 德 斯· 厄 蘭 森 公 爵 
trp_knight_4_4_pl|安 德 斯· 厄 蘭 森 
trp_knight_4_5|彼 得· 斯 克 雅 爾 姆 森 主 教 
trp_knight_4_5_pl|彼 得· 斯 克 雅 爾 姆 森 
trp_knight_4_6|雅 各 布 塞 瑞 斯 伯 爵 
trp_knight_4_6_pl|雅 各 布 塞 瑞 斯 
trp_knight_4_7|羅 尼 伯 爵
trp_knight_4_7_pl|羅 尼 
trp_knight_4_8|哈 蘭 伯 爵 
trp_knight_4_8_pl|哈 蘭 
trp_knight_4_9|雅 各 布 森 伯 爵 
trp_knight_4_9_pl|雅 各 布 森 
trp_knight_4_10|彼 得 伯 爵 
trp_knight_4_10_pl|彼 得 
trp_knight_4_11|伊 瓦· 帕 格 森 伯 爵 
trp_knight_4_11_pl|伊 瓦· 帕 格 森 
trp_knight_4_12|伊 瓦· 帕 卡 森 伯 爵 
trp_knight_4_12_pl|伊 瓦· 帕 卡 森 
trp_knight_4_13|尼 菲 爾 坡 伯 爵 
trp_knight_4_13_pl|尼 菲 爾 坡 
trp_knight_4_14|薩 克 索 伯 爵 
trp_knight_4_14_pl|薩 克 索 
trp_knight_4_15|比 斯 科 普 伯 爵 
trp_knight_4_15_pl|比 斯 科 普 
trp_knight_5_1|卡 希 米 爾 公 爵 
trp_knight_5_1_pl|卡 希 米 爾 
trp_knight_5_2|格 涅 沃 米 爾 公 爵 
trp_knight_5_2_pl|格 涅 沃 米 爾 
trp_knight_5_3|博 古 米 烏 公 爵 
trp_knight_5_3_pl|博 古 米 烏 
trp_knight_5_4|博 來 斯 瓦 夫 公 爵 
trp_knight_5_4_pl|博 來 斯 瓦 夫 
trp_knight_5_5|瓦 迪 斯 瓦 夫 公 爵 
trp_knight_5_5_pl|瓦 迪 斯 瓦 夫 
trp_knight_5_6|亨 利· 懷 特 公 爵 
trp_knight_5_6_pl|亨 利· 懷 特 
trp_knight_5_7|波 美 拉 尼 亞 大 公，瑟 維 多 比 克 二 世
trp_knight_5_7_pl|瑟 維 多 比 克 
trp_knight_5_8|博 列 科 公 爵 
trp_knight_5_8_pl|博 列 科 
trp_knight_5_9|瑪 斯 齊 沃 公 爵 
trp_knight_5_9_pl|瑪 斯 齊 沃 
trp_knight_5_10|瑞 斯 博· 彼 洛 加 斯 基 親 王 
trp_knight_5_10_pl|瑞 斯 博· 彼 洛 加 斯 基 
trp_knight_5_11|普 熱 梅 希 爾 公 爵 
trp_knight_5_11_pl|普 熱 梅 希 爾 
trp_knight_5_12|薩 姆 波 公 爵 
trp_knight_5_12_pl|薩 姆 波 
trp_knight_5_13|裡 亞 克 公 爵 
trp_knight_5_13_pl|裡 亞 克 
trp_knight_5_14|康 德 拉 一 世 公 爵 
trp_knight_5_14_pl|康 德 拉 
trp_knight_5_15|西 摩 梅 爾 斯 公 爵 
trp_knight_5_15_pl|西 摩 梅 爾 斯 
trp_knight_6_1|波 西 米 亞 國 王 兼 奧 地 利 公 爵，奧 塔 卡 二 世 
trp_knight_6_1_pl|奧 塔 卡 二 世 
trp_knight_6_2|萊 茵 河 伯 爵 兼 巴 伐 利 亞 公 爵，路 德 維 希 二 世 
trp_knight_6_2_pl|路 德 維 希 二 世 
trp_knight_6_3|薩 克 尼 亞 公 爵，阿 爾 布 雷 希 一 世 
trp_knight_6_3_pl| 阿 爾 布 雷 希 
trp_knight_6_4|勃 蘭 登 堡 侯 爵，奧 托 三 世“虔 誠 者” 
trp_knight_6_4_pl|奧 托 三 世，虔 誠 者 
trp_knight_6_5|下 巴 伐 利 亞 公 爵，海 因 裡 希 八 世 
trp_knight_6_5_pl|海 因 裡 希 八 世 
trp_knight_6_6|布 拉 班 特 公 爵，海 因 裡 希 三 世，善 人 
trp_knight_6_6_pl|海 因 裡 希 三 世，善 人 
trp_knight_6_7|布 倫 瑞 克 和 呂 內 堡 公 爵，約 翰 一 世 
trp_knight_6_7_pl|約 翰 一 世 
trp_knight_6_8|林 堡 公 爵，瓦 爾 拉 姆 四 世 
trp_knight_6_8_pl|瓦 爾 拉 姆 四 世 
trp_knight_6_9|科 隆 大 主 教，霍 赫 斯 塔 頓 的 康 拉 德 一 世 
trp_knight_6_9_pl|霍 赫 斯 塔 頓 的 康 拉 德 一 世 
trp_knight_6_10|美 因 茨 大 主 教，多 恩 的 格 哈 德 一 世 
trp_knight_6_10_pl|多 恩 的 格 哈 德 一 世 
trp_knight_6_11|特 裡 爾 大 主 教，伊 森 堡 的 阿 諾 德 二 世 
trp_knight_6_11_pl|伊 森 堡 的 阿 諾 德 二 世 
trp_knight_6_12|克 恩 騰 公 爵，克 賴 因 領 主，施 潘 海 姆 的 烏 爾 裡 希 三 世 
trp_knight_6_12_pl|施 潘 海 姆 的 烏 爾 裡 希 三 世 
trp_knight_6_13|洛 林 公 爵，弗 裡 德 裡 希 三 世 
trp_knight_6_13_pl|弗 裡 德 裡 希 三 世 
trp_knight_6_14|波 美 拉 尼 亞 公 爵，巴 爾 尼 姆 一 世 
trp_knight_6_14_pl|巴 爾 尼 姆 一 世 
trp_knight_6_15|不 萊 梅 和 漢 堡 大 主 教，利 珀 的 格 布 哈 特 二 世 
trp_knight_6_15_pl|利 珀 的 格 布 哈 特 二 世 
trp_knight_6_16|哈 布 斯 堡 伯 爵，魯 道 夫 四 世 
trp_knight_6_16_pl|魯 道 夫 四 世 
trp_knight_6_17|巴 登 侯 爵，魯 道 夫 一 世 
trp_knight_6_17_pl|魯 道 夫 一 世 
trp_knight_6_18|邁 森 侯 爵，圖 林 根 伯 爵，海 因 裡 希 三 世“顯 赫 者” 
trp_knight_6_18_pl|海 因 裡 希 三 世，顯 赫 者 
