qstr_{reg61}.0{reg62}|{reg61}.0{reg62}
qstr_You_were_the_{reg3?d|你 是 一 個 居 住 在 森 林 中 的 家 庭 裡 面 的 {reg3?女 兒 :兒 子 }在 這 裡 你 們 過 著 自 給 自 足 的 生 活。 對 於 你 家 裡 來 說 冬 天 並 不 能 稱 之 為 一 個 好 的 季 節， 它 帶 走 的 不 僅 是 牲 畜， 還 有 人 的 性 命。 不 過 每 天 你 依 然 期 盼 著 下 一 個 黎 明， 即 使 你 的 兄 弟 姐 妹 可 能 已 經 看 不 到 那 些 了。 
qstr_You_were_a_child_of_|你 是 一 個 草 原 之 子， 生 活 在 一 個 不 斷 遷 徙 著 的 游 牧 部 落 之 中。 象 部 落 中 其 他 人 一 樣， 你 們 將 馬 看 得 比 任 何 事 物 都 重 要， 在 你 學 會 走 路 之 前， 你 就 已 經 學 會 了 騎 馬。 
qstr_As_the_{reg3?daughte|作 為 盜 賊 的 {reg3?女 兒:兒 子}， 你 已 懂 得 很 少 「正 規 」 的 教 育。 你 從 小 就 在 大 街 上 乞 討， 直 到 學 會 如 何 割 錢 包 ； 之 後 一 直 割 包， 直 到 學 會 如 何 解 鎖， 整 個 童 年 就 是 在 這 樣 的 過 程 中 度 過 的。 經 過 這 些 漫 長 的 歲 月， 你 學 會 了 盜 賊 的 生 存 方 式， 隱 入 了 城 市 的 陰 暗 巷 道 之 中。 
qstr_As_a_{reg3?girl:boy}|你 被 送 到 本 地 中 的 一 個 貴 族 家 庭 中 寄 養。 漸 漸 如 同 其 他 {reg3?女 孩 :男 孩 }一 樣 長 大。 在 那 裡， 你 在 等 侯 家 主 和 夫 人 的 過 程 中， 學 會 第 一 堂 名 為 「謙 卑 」 的 課 程。 此 外， 在 和 他 們 的 對 弈 、 閒 談 、 甚 至 是 對 偉 大 功 績 或 高 尚 愛 情 的 詩 贊 中， 你 迅 速 地 學 會 了 成 人 世 界 的 爭 斗 和 競 爭。 你 也 會 從 其 他 孩 子 的 野 蠻 游 戲 中， 在 他 們 以 木 棒 代 劍 的 對 打 中， 學 會 他 們 大 人 的 用 劍 方 法。 
qstr_As_a_{reg3?girl:boy}_|你 作 為 一 名 本 地 工 匠 的 學 徒 學 會 了 如 何 進 行 買 賣， 並 漸 漸 像 其 他 {reg3?女 孩 :男 孩 }一 樣 長 大。 在 數 年 的 努 力 工 作 和 學 習 後， 他 升 你 為 正 式 工 匠， 付 你 全 薪 直 到 你 決 定 離 開。 
qstr_As_a_{reg3?girl:boy}_g|你 作 為 一 名 有 錢 的 商 人 的 學 徒， 在 多 年 的 交 易 和 行 商 中 挖 掘 出 買 賣 才 能， 漸 漸 像 其 他 {reg3?女 孩 :男 孩 }一 樣 長 大。 你 很 快 就 學 會 了 低 入 高 出， 並 標 出 讓 顧 客 滿 意 價 格 的 技 巧。 
qstr_As_a_{reg3?girl:boy}_gr|你 被 遺 棄 在 大 街 上 為 了 生 存 而 無 所 不 為， 卻 像 其 他 {reg3?女 孩 :男 孩 }一 樣 逐 漸 成 長。 從 最 初 的 偷 盜， 到 僅 僅 只 是 為 了 獲 得 一 塊 面 包 而 為 那 些 歹 徒 工 作。 你 每 天 都 在 這 種 殘 酷 的 世 界 中 掙 扎， 並 總 在 執 法 者 和 病 魔 到 來 之 前 藏 好 自 己。 
qstr_As_a_{reg3?girl:boy}_gro|在 和 其 他 {reg3?女 孩 :男 孩 }一 樣 的 成 長 過 程 中， 你 曾 在 大 草 原 上 騎 著 自 己 的 馬 匹， 學 習 著 從 草 原 或 沙 漠 之 中 尋 找 方 向。 在 無 痕 的 大 地 上 雖 然 不 時 挨 餓， 你 還 是 成 了 一 名 熟 練 的 獵 人 和 探 險 者， 你 的 身 體 也 開 始 布 滿 了 結 實 的 肌 肉— — 這， 就 是 作 為 游 牧 之 {reg3?女 :民 }的 生 活 方 式。 
qstr_{reg3?daughter:man}|{reg3?女 子 :男 人 }
qstr_Though_the_distincti|盡 管 階 級 高 下 如 此 懸 殊， 你 仍 然 在 某 種 力 量 的 指 引 下 成 為 一 個 {reg3?女 人:男 人}， 整 個 世 界 將 因 你 而 改 變。 作 為 一 個 上 層 貴 族 的 指 定 護 衛， 你 長 時 間 的 練 習 各 種 武 器， 學 習 如 何 出 擊 和 招 架。 被 教 導 要 對 主 人 效 忠， 以 及 對 那 些 將 來 可 能 成 為 你 屬 下 的 人 負 責。 在 學 習 騎 士 理 想 的 時 候， 從 那 些 老 兵 的 故 事 你 也 知 道 了 不 怎 麼 光 彩 的 一 面— — 殘 忍 的 強 權 政 治， 背 叛 和 篡 奪， 以 及 為 了 目 的 不 擇 手 段。 
qstr_{reg3?woman:man}|{reg3?女 人 :男 人 }
qstr_Though_the_distinctio|盡 管 你 突 然 領 悟 到 階 級 差 別， 你 仍 然 在 某 種 力 量 的 指 引 下 成 為 一 名 {s13}， 你 身 邊 的 整 個 世 界 似 乎 都 變 了。 你 進 入 了 上 層 女 士 的 緊 密 圈 子， 她 們 全 是 真 正 的 淑 女， 婦 人 們 、 貴 族 夫 人 們， 以 及 一 些 未 婚 千 金 們。 不 論 如 何， 你 總 是 在 女 士 們 在 大 廳 裡 穿 著 為 求 顯 赫 和 爭 紅 斗 艷 的 吸 引 男 子 眼 球 的 潮 流 妝 扮 中 嗅 到 政 治 的 味 道。 你 很 快 學 習 到 將 這 些 情 景 和 舉 動 變 為 自 己 優 勢 的 方 法。 這 將 讓 令 你 重 新 認 識 自 己， 並 讓 你 了 解， 假 如 你 在 這 方 面 花 些 功 夫 的 話， 將 會 對 世 界 產 生 巨 大 的 影 響。 
qstr_Though_the_distinction|盡 管 你 突 然 領 悟 到 階 級 差 別， 你 仍 然 在 某 種 力 量 的 指 引 下 成 為 一 名 {s13}， 你 身 邊 的 整 個 世 界 似 乎 都 變 了。 僅 僅 帶 著 背 上 的 樂 器 和 自 己 的 嗓 音 你 就 出 發 了。 那 是 一 段 窮 苦 的 生 活， 因 為 人 們 不 賞 識 你 的 演 奏 而 在 許 許 多 多 的 夜 裡 挨 餓， 不 過 你 設 法 靠 音 樂 維 持 生 存。 多 年 以 後 你 在 酒 館 裡 為 醉 鬼 們 熟 練 的 演 奏， 甚 至 還 能 讓 任 何 人 說 出 你 想 要 的 的 東 西。 
qstr_Though_the_distinction_|你 在 某 種 力 量 的 指 引 下 成 為 一 個 {reg3?女 人:男 人}， 當 你 突 然 領 悟 了 榮 譽 時， 你 身 邊 的 整 個 世 界 似 乎 都 變 了。 作 為 一 個 大 城 市 裡 的 學 生， 你 在 學 院 裡 學 習 神 學 、 哲 學 和 醫 學， 不 過 不 是 所 有 的 課 程 都 在 講 堂 上 學 的。 你 有 時 也 和 朋 友 們 在 小 巷 裡 閒 逛， 喝 酒， 找 女 人， 打 架。 不 管 怎 麼 說， 你 能 觀 察 到 如 何 接 上 脫 臼 的 下 巴， 或 者 如 何 說 服 一 個 怒 火 中 燒 的 市 民 放 下 大 棒， 為 他 被 砸 爛 的 店 鋪 接 受 現 金 賠 償。 
qstr_Though_the_distinction_f|盡 管 你 突 然 領 悟 到 階 級 差 別， 你 仍 然 在 某 種 力 量 的 指 引 下 成 為 一 名 {s13}， 你 身 邊 的 整 個 世 界 似 乎 都 變 了。 你 走 村 串 巷， 沿 街 叫 賣 自 己 販 來 的 貨 物。 那 一 段 並 不 富 裕 的 生 活， 讓 你 逐 漸 成 長 為 講 價 的 能 手， 即 使 最 吝 嗇 的 老 前 輩 也 能 給 你 一 個 好 價 錢。 你 知 道， 不 久 你 將 開 始 發 展 自 己 的 貿 易 帝 國… … 
qstr_Though_the_distinction_fe|盡 管 你 突 然 領 悟 到 階 級 差 別， 你 仍 然 在 某 種 力 量 的 指 引 下 成 為 一 名 {s13}， 你 身 邊 的 整 個 世 界 似 乎 都 變 了。 你 從 事 鐵 匠 職 業， 用 手 打 造 出 各 種 各 樣 的 工 具。 你 逐 漸 掌 握 了 技 巧， 努 力 的 工 作 也 換 來 了 金 錢 、 食 物 和 火 上 的 鐵 料。 你 以 自 己 的 工 作 為 傲， 並 且 不 久 就 會 獲 得 工 匠 大 師 的 稱 號。 
qstr_Though_the_distinction_fel|盡 管 你 突 然 領 悟 到 階 級 差 別， 你 仍 然 在 某 種 力 量 的 指 引 下 成 為 一 名 {s13}， 你 身 邊 的 整 個 世 界 似 乎 都 變 了。 不 滿 於 普 通 人 對 於 金 錢 的 拼 死 爭 奪， 你 潛 入 領 主 的 森 林， 在 該 死 的 法 律 之 外 自 己 來 一 點 慷 慨。 你 獵 殺 野 鹿 、 野 豬 和 野 鵝， 偷 偷 賣 出 這 些 美 味 的 干 肉。 你 在 看 守 的 鼻 子 底 下 砍 樹 並 劈 成 木 柴， 在 冬 夜 溫 暖 許 多 冰 冷 的 家 庭。 當 然， 只 收 一 點 點 銀 子。 
qstr_Only_you_know_exactl|只 有 你 確 切 知 道 自 己 為 何 放 棄 以 前 的 生 活， 來 做 一 個 冒 險 者。 因 為 心 中 的 熊 熊 燃 燒 的 怒 火， 決 定 離 開 並 不 艱 難。 你 要 復 仇， 你 要 審 判， 對 你 所 作 的 一 切 都 不 能 饒 恕， 所 有 的 債 只 能 用 鮮 血 來 償 還… … 
qstr_Only_you_know_exactly|只 有 你 確 切 知 道 自 己 為 何 放 棄 以 前 的 生 活， 來 做 一 個 冒 險 者。 你 只 想 說 的 就 是 不 能 再 忍 受 下 去， 帶 著 那 些 讓 你 愛 得 如 此 甜 蜜 又 如 此 痛 苦 的 記 憶。 也 許 新 的 生 活 會 讓 你 忘 掉， 或 者 給 你 再 也 忍 不 住 要 說 的 那 個 名 字 帶 去 榮 譽… … 
qstr_Only_you_know_exactly_|只 有 你 確 切 知 道 自 己 為 何 放 棄 以 前 的 生 活， 來 做 一 個 冒 險 者。 你 不 確 定 從 何 時 起， 家 園 變 成 了 監 獄， 親 人 也 變 得 陌 生， 只 有 流 浪 占 據 了 你 的 世 界。 不 管 是 向 往 遙 遠 的 樂 土 還 是 僅 僅 路 上 的 自 由， 你 再 不 願 呆 在 同 樣 的 地 方， 只 是 再 不 回 頭 地 走 下 去… … 
qstr_Only_you_know_exactly_w|只 有 你 確 切 知 道 自 己 為 何 放 棄 以 前 的 生 活， 來 做 一 個 冒 險 者。 你 知 道 再 也 不 能 回 去， 也 沒 有 地 方 可 回。 曾 經 的 家 園 已 經 煙 消 雲 散， 你 必 須 面 對 現 實， 在 大 千 世 界 上， 沉 浮 全 靠 自 己 一 人… … 
qstr_Only_you_know_exactly_wh|只 有 你 確 切 知 道 自 己 為 何 放 棄 以 前 的 生 活， 來 做 一 個 冒 險 者。 每 個 人 都 知 道， 很 明 顯 你 是 單 純 為 錢 財 而 來。 你 想 富 有 、 強 大 、 受 人 尊 敬 、 令 人 畏 懼 、 讓 人 順 從。 你 想 讓 人 們 都 知 道 你 的 名 字， 並 且 無 論 何 時 聽 到 它 就 發 抖。 你 想 要 每 一 樣 東 西， 並 且 不 會 讓 任 何 人 阻 止 你 得 到 它… … 
qstr_Back_to_the_beginnin|退 回 開 始… … 
qstr_View_next_segment...|查 看 下 節… … 
qstr_^No_food:___{reg7}|^ 沒 有 食 物 ： -{reg7}
qstr_^Wage_debt:___{reg6}|^ 拖 欠 工 資 ： -{reg6}
qstr_^Religious/cultural_|^信 仰 /文 化 沖 突： -{reg6}
qstr_is_traveling_to|正 在 前 往
qstr_{s4}_{s8}_to_{s5}|{s4} {s8} 到{s5}{***}
qstr_Awaiting_your_arriva|等 候 你 的 到 來 
qstr_{s4}___{s8}_in_{s5}_|{s4} - {s8} 在{s5} 的 酒 館 
qstr_is_awaiting_your_mes|正 在 等 待 你 的 信 使 {***}
qstr_Appoint_next_marshal|委 任 下 一 任 元 帥 
qstr_Award_{s12}_as_fief|把 {s12}作 為 封 地 授 予 
qstr_No_one|沒 有 人 
qstr_Selected_faction_is:|選 擇 的 集 團 是 ： {s10}^^{s9}
qstr_You_are_currently_re|你 正 在 閱 讀 {s8}。 
qstr_You_are_not_reading_|你 沒 有 在 讀 任 何 書 籍。 
qstr_none|無 
qstr_{s5}_and_{s6}|{s5}和 {s6}
qstr_Your_estates_are:_{s|你 的 封 地 在 ： {s8}。 ^{s9}
qstr_Current_party_size_l|當 前 的 部 隊 上 限 為 {reg5}^ 當 前 部 隊 上 限 的 修 正 為 ： ^^ 因 基 礎 人 數 ： +30^ 因 玩 家 統 御 ： {s2}{reg1}^ 因 玩 家 魅 力 ： {s3}{reg2}^ 因 玩 家 聲 望 ： {s4}{reg3}^ 總 計 ： {reg5}
qstr_Loyal|忠 誠 的 
qstr_Devoted|忠 實 的 
qstr_Fond|喜 歡 的 
qstr_Gracious|親 切 的 
qstr_Friendly|友 好 的 
qstr_Supportive|支 援 的 
qstr_Favorable|贊 同 的 
qstr_Cooperative|合 作 的 
qstr_Accepting|信 任 的 
qstr_Indifferent|冷 淡 的 
qstr_Suspicious|猜 疑 的 
qstr_Grumbling|抱 怨 的 
qstr_Hostile|敵 對 的 
qstr_Resentful|怨 恨 的 
qstr_Angry|發 怒 的 
qstr_Hateful|憎 恨 的 
qstr_Revengeful|報 復 的 
qstr_Vengeful|復 仇 的 
qstr_Your_relation_with_t|你 與 各 個 陣 營 的 關 系 為 ： ^{s2}
qstr_Player_renown_is_inc|玩 家 聲 望 上 升 100 點。 
qstr_Player_honor_is_incr|玩 家 榮 譽 值 增 加 一 點 現 在 是 {reg7}。 
qstr_{reg1}_{s1}_{reg2?ac|{reg1}個 {s1}{reg2?接 受 :接 受 }你 的 提 議。 
qstr_No_one_accepts_the_o|沒 人 接 受 你 的 提 議。 
qstr_You_start_reading_{s|你 開 始 讀 {s2}。 你 決 定 把 它 帶 在 身 邊， 任 何 有 空 的 時 候 就 讀 幾 頁。 
qstr_You_flip_through_the|你 翻 著 {s2}， 但 你 發 現 裡 面 的 內 容 很 難 理 解。 看 了 幾 頁 後， 你 感 覺 到 頭 很 痛， 然 後 放 棄 閱 讀 了。 
qstr_Villagers|村 民 們 
qstr_The_garrison|要 塞 
qstr_You_have_encountered|你 遇 到 {s1}了。 
qstr_You_have_engaged_{s1|你 與 {s1}開 戰 了， 他 們 曾 經 襲 擊 過 {s3}。 
qstr_You_were_caught_by_{|當 你 帶 著 部 下 在 {s3}掠 奪 的 時 候， 被 {s1}撞 見 了。 
qstr_You_rally_your_force|你 集 結 你 的 部 隊 對 抗 {s1}來 防 守 {s3}。 
qstr_You_were_victorious!|你 獲 勝 了！ 
qstr_Battle_was_lost._You|你 戰 敗 了。 你 的 隊 伍 被 徹 底 摧 毀 了。 
qstr_Your_companions_carr|你 的 同 伴 把 你 從 戰 場 上 運 了 出 來。 
qstr_You_have_defeated_th|你 擊 敗 了 敵 人。 
qstr_You_have_retreated_f|你 撤 離 了 戰 場。 
qstr_^^Ally_Casualties:{s|^^ 友 軍 傷 亡 ： {s0}
qstr_{s1}_of_{s3}_managed|{s3}的 {s1}設 法 逃 離。 
qstr_Some_of_your_tendons|你 的 一 些 肌 腱 在 戰 斗 中 受 傷 了， 你 失 去 了 1點 力 量。 
qstr_You_took_a_nasty_wou|你 遭 受 了 一 次 很 討 厭 的 創 傷 導 致 你 即 使 痊 愈 了 還 是 有 些 跛 足。 你 失 去 了 1點 敏 捷 值。 
qstr_You_have_trouble_thi|這 場 戰 斗 結 束 以 後， 你 發 現 你 思 考 問 題 的 時 候 有 些 困 難， 也 許 是 因 為 戰 斗 中 你 的 頭 部 挨 了 特 別 重 的 一 擊。 而 且 現 在 你 頻 繁 地 感 到 頭 痛。 你 的 智 力 下 降 1點。 
qstr_Perhaps_I_m_getting_|也 許 我 的 運 氣 在 變 差… … 
qstr_Retirement_is_starti|撤 退 聽 起 來 變 得 越 來 越 動 聽。 
qstr_No_matter!_I_will_pe|沒 關 系！ 我 將 繼 續 堅 持！ 
qstr_What_did_I_do_to_des|我 該 怎 麼 做 才 能 得 到 這 些？ 
qstr_I_suppose_it_ll_make|我 猜 這 些 至 少 可 以 構 造 出 一 個 很 好 的 故 事… … 
qstr_{s9}_wants_you_to_fo|{s9}希 望 你 能 夠 在 接 到 進 一 步 的 指 令 以 前 跟 著 他 的 部 隊 前 進。 
qstr_{s8}_of_{s9}|{s9}的 {s8}
qstr__Your_own_banner_fli|你 自 己 的 旗 幟 飄 揚 在 城 堡 大 門 上。 
qstr__You_see_the_banner_|你 看 到 {s7}的 旗 幟 掛 在 城 堡 大 門 上。 
qstr__Your_own_banner_flie|你 自 己 的 旗 幟 飄 揚 在 城 鎮 大 門 上。 
qstr__You_see_the_banner_o|你 看 到 {s7}的 旗 幟 掛 在 城 鎮 大 門 上。 
qstr_The_{reg6?town_s:cas|好 像 {reg6?城 鎮 裡 :城 堡 裡 }食 品 倉 庫 中 的 存 糧 能 夠 支 持 {reg3}天 ({reg7}/{reg8})。 
qstr_The_{reg6?town_s:cast|{reg6?城 鎮 裡 :城 堡 裡 }食 品 倉 庫 中 已 經 沒 有 存 糧 了， 守 城 人 員 快 要 餓 死 了。 
qstr_You_re_preparing_to_|你 正 准 備 攻 擊 圍 牆， 需 要 {reg9}小 時 的 時 間 准 備。 
qstr_Your_forces_are_buil|你 的 部 隊 正 在 制 造 攻 城 塔， 需 要 {reg9}小 時 完 成。 
qstr_You_are_ready_to_att|你 准 備 好 隨 時 攻 擊 圍 牆 了。 
qstr_The_siege_tower_is_b|攻 城 塔 造 好 了， 現 正 等 待 進 攻 命 令。 
qstr_As_a_last_defensive_|你 撤 退 到 城 堡 的 大 廳 裡 進 行 最 後 的 防 御。 你 和 你 手 下 殘 余 的 士 兵 將 准 備 在 這 裡 接 受 一 場 惡 戰。 如 果 你 戰 敗 了， 你 就 無 路 可 退 了。 
qstr_You_ve_been_driven_a|你 被 敵 人 從 城 牆 上 面 趕 下 去 了， 現 在 敵 人 大 量 湧 入 街 道 內。 如 果 你 能 擊 敗 他 們， 你 也 許 能 扭 轉 局 勢， 反 敗 為 勝。 
qstr_You_ve_breached_the_|你 已 經 突 破 了 城 牆， 但 是 那 些 頑 固 的 守 衛 者 繼 續 在 街 道 上 抵 抗 你 的 攻 擊！ 你 得 消 滅 他 們 才 能 攻 擊 城 鎮 中 心 的 城 堡。 
qstr_The_town_centre_is_y|這 個 城 鎮 的 鎮 廣 場 是 你 的 了， 但 是 剩 下 的 守 衛 者 撤 退 到 城 堡 裡 了。 你 要 完 全 消 滅 他 們 才 能 取 得 完 全 的 勝 利。 
qstr_The_remaining_defend|剩 下 的 守 衛 撤 退 到 城 堡 這 個 最 後 的 防 線。 你 必 須 沖 進 去 清 除 剩 余 的 抵 抗 力 量。 
qstr_However_since_you_ar|然 而， 自 從 你 放 棄 向 {s9}發 的 誓 言。 他 是 絕 對 不 會 承 認 你 是 這 個 {reg8?城 鎮 :城 堡 }的 {領 主/領 主}。 
qstr_The_enemy_has_been_f|敵 人 被 迫 撤 退 了。 進 攻 停 止 了， 但 是 圍 城 還 在 繼 續。 
qstr_As_you_approach_you_|當 你 走 近 城 堡， 你 被 守 衛 發 現 了， 他 們 打 開 了 大 門 歡 迎 他 們 的 {國 王/女 王}。 
qstr_As_you_approach_you_a|當 你 走 近 城 堡， 你 被 守 衛 發 現 了， 他 們 打 開 了 大 門 歡 迎 他 們 的 {領 主/夫 人}。 
qstr__This_village_and_th|這 個 村 子 及 周 圍 的 土 地 屬 於 你。 
qstr__You_remember_that_t|你 記 得 這 個 村 子 及 周 圍 的 土 地 屬 於 {s7}。 
qstr__These_lands_belong_|這 些 土 地 不 屬 於 任 何 人。 
qstr__The_village_is_infe|這 個 村 子 受 到 {reg8}個 {s35}侵 擾。 
qstr__The_peasants_hired_|農 民 們 找 了 雇 傭 兵 來 對 抗 你。 
qstr__The_village_has_bee|這 個 村 莊 受 到 了 掠 奪， 當 你 經 過 那 些 燒 毀 的 房 屋 時， 無 數 冤 魂 四 散 而 去。 
qstr__The_village_is_bein|村 莊 已 遭 到 襲 擊。 
qstr_No_one_here_seems_to|這 裡 好 像 沒 有 人 想 加 入 你 的 部 隊。 
qstr_One_{s3}_volunteers_|1 個 {s3}的 志 願 者 跟 隨 你。 
qstr_{reg5}_{s3}_voluntee|{reg5}個 {s3}的 志 願 者 跟 隨 你。 
qstr_Try_as_you_might_you|不 論 你 怎 麼 努 力， 你 都 沒 有 能 打 敗 這 些 強 盜。 強 盜 們 十 分 生 氣 地 燒 毀 了 村 子 來 報 復 那 些 農 民， 然 後 離 開 這 個 燒 焦 的 地 方 去 尋 找 別 的 地 方 進 行 掠 奪。 
qstr_village|村 子 
qstr_town|城 鎮 
qstr_castle|城 堡 
qstr_The_{s17}_has_no_imp|{s17}沒 有 升 級 的 設 施。 
qstr_The_{s17}_has_the_fo|{s17}有 如 下 升 級 的 設 施： {s18}。 
qstr_fort_castle_player|fort castle player{***}
qstr_The_assasins_beat_yo|刺 客 把 你 放 倒， 然 後 讓 你 躺 在 地 上 等 死… … 
qstr_You_have_fallen._The|你 倒 下 了。 強 盜 們 迅 速 從 你 的 身 上 搜 刮 錢 財， 然 後 消 失 在 夜 幕 中。 他 們 僅 僅 是 沒 有 殺 了 你。 
qstr_Luckily_some_of_your|很 幸 運 的 是， 你 的 一 些 同 伴 發 現 你 沒 有 回 來 就 出 來 尋 找 你， 並 且 發 現 你 躺 在 路 邊。 他 們 急 忙 把 你 抬 帶 安 全 的 地 方 並 為 你 包 扎 傷 口。 
qstr_Luckily_some_passing|很 幸 運 的 是， 一 些 路 過 的 鎮 民 發 現 你 躺 在 路 邊 上， 他 們 差 點 就 把 你 當 成 乞 丐 了。 他 們 把 你 抬 到 最 近 的 旅 館 裡 並 為 你 包 扎 傷 口。 
qstr_You_fail_to_steal_an|你 沒 能 偷 到 一 頭 牛。 
qstr_You_drive_away_{reg1|你 從 村 子 的 牛 欄 裡 趕 走 了 {reg17}{reg12?頭 :頭 }牛。 
qstr_You_are_at_{s2}.|你 在 {s2}。 
qstr__This_castle_has_no_|這 座 城 堡 目 前 無 人 管 轄。 
qstr__This_town_has_no_ga|這 座 城 鎮 目 前 無 人 管 轄。 
qstr__You_have_successful|你 成 功 潛 入 了。 
qstr_{s13}_A_tournament_w|{s13}一 場 比 賽 馬 上 要 開 始 了。 
qstr_ransom_broker_presen|贖 金 經 紀 人 出 現 入 口： {reg20}。 {***}
qstr_sally|集 結 
qstr___{reg1}_denars_per_|（每 晚 {reg1}第 納 爾） 
qstr_Moreover_you_earn_{r|此 外， 你 聰 明 地 往 自 己 身 上 押 注， 贏 得 了 {reg8}第 納 爾。 
qstr_Victory_is_yours!_Yo|你 贏 了！ 你 在 這 場 混 戰 中 獲 勝 了， 但 是 你 得 准 備 好 進 入 下 一 輪 比 賽。 
qstr_You_have_been_bested|你 在 混 戰 中 被 打 敗 了， 但 是 競 技 場 老 板 相 當 認 可 你 的 技 能 和 勇 氣， 允 許 你 進 入 下 一 輪 比 賽。 
qstr_You_were_beaten._The|你 被 打 敗 了， 這 些 農 民 被 他 們 的 勝 利 所 鼓 舞， 但 是 你 想 教 給 他 們 的 東 西 他 們 可 能 沒 有 真 正 掌 握… … 
qstr_After_beating_your_l|在 你 擊 倒 最 後 一 個 對 手 後， 你 向 這 些 農 民 解 釋 怎 樣 更 好 地 防 御 這 樣 的 一 擊。 希 望 他 們 能 接 受 這 些 經 驗， 下 次 能 提 前 做 好 准 備。 
qstr_The_bandits_are_brok|這 些 強 盜 被 打 敗 了！ 那 些 還 活 著 的 和 意 識 還 清 醒 的 都 夾 著 尾 巴 逃 跑 了， 他 們 懼 怕 這 些 農 民 和 他 們 的 新 教 官。 
qstr_{s1}_s_Ship|{s1}的 船 
qstr_{s1}_have_sold_{reg1|{s1}賣 出 了{reg1}件 物 品， 你 獲 得 了 {reg2}第 納 爾。 
qstr_You_have_bought_{reg|你 購 買 了 {reg2}種 食 物， 支 付 了 {reg1}第 納 爾。 
qstr_However_{reg3?You_ar|不 過， {reg3?你 :{s1}}不 能 找 到 任 何 能 夠 給 你 帶 來 利 潤 的 商 品。 
qstr_^Buying_{s4}_here_an|^ 在 這 裡 購 買 {s4}然 後 賣 到 {s5}去， 將 會 獲 得 每 件 商 品 {reg6}第 納 爾 的 利 潤。 {s3}
qstr_{reg3?You_find:{s1}_|{reg3?你 :{s1}}找 到 下 列 物 品 ： ^{s3}
qstr_{s2}^{reg1}_{s1}_ear|{s2}^{reg1}個 {s1}獲 得 {reg0}點 經 驗。 
qstr_{s2}^{s1}_earned_an_|{s2}^{s1}獲 得 了 {reg0}點 額 外 的 經 驗。 
qstr_^You_earned_{reg0}_e|^ 你 獲 得 了 {reg0}點 經 驗。 {s2}
qstr_The_training_didn_t_|訓 練 進 行 得 很 糟 糕。 
qstr_The_training_didn_t_g|訓 練 進 行 得 不 太 好。 
qstr_The_training_went_qu|訓 練 進 行 得 很 好。 
qstr_The_training_went_ve|訓 練 進 行 得 非 常 好。 
qstr_The_training_went_pe|訓 練 進 行 得 很 完 美。 
qstr_{s13}_asked_you_to_r|{s13}要 你 帶 著 至 少 {reg13}人 去 向 他 報 告。 
qstr_{s13}_ordered_you_to|{s13}命 令 你 參 加 對 {s14}的 攻 擊。 
qstr_Find_and_speak_with_|找 到 並 請 求 {s4}的 {s3}讓 他 接 受 你 為 他 立 下 效 忠 的 誓 言。 
qstr_There_has_been_an_al|有 涉 嫌 邊 境 事 件： {s9}
qstr_^^Note_that_so_long_|^^注 意 只 要 你 還 在 做 元 帥， 這 個 國 家 的 領 主 們 都 會 等 著 讓 你 率 領 他 們 進 行 戰 役。 所 以， 如 果 你 正 在 准 備 一 場 宴 會， 或 者 是 婚 禮 以 及 其 它 活 動， 你 也 許 要 去 和 你 的 領 主 談 談 來 辭 去 元 帥 的 職 務。 
qstr_You_came_by_caravan_|你 跟 著 一 支 商 隊 穿 過 了 歐 洲 的 中 心 地 帶。 望 向 那 些 起 伏 的 山 脈， 可 以 看 到 小 麥 、 大 麥 和 燕 麥 的 青 苗 正 沖 出 黑 暗 的 地 下， 旺 盛 地 生 長。 而 在 那 些 積 雪 的 山 峰 下 面 的 山 坡， 成 群 的 牛 羊 正 吃 著 美 味 的 春 草， 有 時， 你 還 能 看 到 象 征 著 貴 族 的 高 頭 戰 馬。 這 裡 無 疑 是 富 饒 的， 但 也 充 滿 動 亂， 偶 爾 能 看 到 的 被 燒 毀 的 農 場 就 是 很 好 的 證 明。 你 始 終 保 持 自 己 的 營 地 遠 離 那 些 森 林， 那 裡 是 那 些 走 投 無 路 的 人 們 的 庇 護 所。 你 終 於 松 了 口 氣， 偉 大 的 {s1}已 經 出 現 在 視 線 裡 了， 在 夕 陽 的 余 暉 下， 城 市 的 屋 頂 泛 出 一 片 金 光。 
qstr_unknown_faction_in_m|unknown faction in module game menus start phase 4!{***}
qstr_Try_as_you_might_you_|你 可 以 試 一 試 , 看 能 不 能 打 敗 這 些 暴 亂 的 村 民。 
qstr_positive|積 極 的 
qstr_negative|消 極 的 
qstr_relation:_{reg0}|關 系： {reg0}
qstr_Breaking_camp...|終 止 宿 營… … 
qstr_Your_men_are_not_hap|你 的 手 下 對 部 隊 的 組 成 不 太 滿 意！ 
qstr____DEBUG____City_{s2|---DEBUG--- City {s21} suffering attrition - {reg21} - wealth {reg22}
qstr_Your_party_is_spotte|你 的 部 隊 被 {s1}發 現 了。 
qstr_Party_has_nothing_to|部 隊 沒 有 東 西 吃 了！ 
qstr_{reg1}_{s1}_{reg2?ha|{reg1}個 {s1}{reg2?已 :已 }趁 著 夜 色 逃 離 了 你 的 隊 伍。 
qstr_{s1}_of_{s3}_has_bee|{s3}的 {s1}已 經 從 監 獄 裡 釋 放 出 來 了。 
qstr_Building_of_{s0}_in_|{s4}的 建 築 物 {s0}已 經 完 工 了。 
qstr_{s10}_Village|{s10}村 
qstr_{s10}_Castle|{s10}堡 壘 
