p_zendar|禅 达 
p_sea_raider_spawn_point_4|海 岸 
p_sea_raider_spawn_point_5|海 岸 
p_sea_raider_spawn_point_6|海 岸 
p_sea_raider_spawn_point_7|海 岸 
p_sea_raider_spawn_point_8|海 岸 
p_sea_raider_spawn_point_9|海 岸 
p_sea_raider_spawn_point_10|海 岸 
p_sea_raider_spawn_point_11|海 岸 
p_sea_raider_spawn_point_12|海 岸 
p_sea_raider_spawn_point_13|the coast 13{***}
p_sea_raider_spawn_point_14|the coast 14{***}
p_sea_raider_spawn_point_15|the coast 15{***}
p_sea_raider_spawn_point_16|the coast 16{***}
p_sea_raider_spawn_point_17|the coast 17{***}
p_desert_bandit_spawn_point_1|沙 漠 
p_desert_bandit_spawn_point_2|沙 漠 
p_desert_bandit_spawn_point_3|沙 漠 
p_desert_bandit_spawn_point_4|沙 漠 
p_desert_bandit_spawn_point_5|the desert 5{***}
p_pagan_stronghold|Prussian Stronghold{***}
